relative_coverage,vaccine_efficacy,total_hospitalizations,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.001,4331952.44768041,17455.140262667726,70156.0719566724,58278.593785128054,61136.495276417591,218042.66864990492,436181.94334346254,421683.74342895771,407596.10916227166,388325.48484676756,365958.04901807569,372424.26366943517,319175.22472293861,300934.83941776381,260590.60566470676,238499.53099346167,144062.98499060515,251450.69849117321
0.01,0.001,4331940.1528860452,17455.087452778793,70155.702393943662,58278.391381349087,61136.341355199358,218042.24554958893,436180.83186699514,421682.53495335672,407594.9865149855,388324.48139411741,365957.13278478745,372423.26282650803,319174.11226391885,300933.81630921899,260589.94880595498,238498.79857919083,144062.54606807287,251449.93238607846
0.02,0.001,4331927.8569283485,17455.034637824781,70155.332810228734,58278.188944247973,61136.187374849978,218041.82225393658,436179.72022718372,421681.3263876469,407593.86377167795,388323.47783654626,365956.21643715713,372422.26188041409,319172.99973742588,300932.79316781351,260589.29192931991,238498.06614923343,144062.10712961547,251449.16625322661
0.029999999999999999,0.001,4331915.5617873883,17454.981825788502,70154.963237642092,58277.98653077949,61136.03345678121,218041.39916753629,436178.60870743095,421680.11787324102,407592.74108599365,388322.47434926021,365955.30017374526,372421.26100922946,319171.88725501846,300931.77004003496,260588.63505403628,238497.33371829859,144061.66818789896,251448.40011467322
0.040000000000000001,0.001,4331903.2687888304,17454.929023196775,70154.593702377228,58277.784143274614,61135.879548213183,218040.97611650862,436177.49740840198,421678.90958909772,407591.61862044351,388321.47106839565,365954.38410002599,372420.26033186942,319170.77494144934,300930.74707061605,260587.97831384887,238496.60140826963,144061.22931194515,251447.63409089533
0.050000000000000003,0.001,4331890.9741584463,17454.876212833969,70154.22413526247,58277.581721186558,61135.72562301682,218040.55300989299,436176.38591502263,421677.7011425618,407590.49599431694,388320.46762924374,365953.46787328232,372419.25950438617,319169.66250951774,300929.72400411102,260587.32149503307,238495.8690264239,144060.79038473402,251446.86797762036
0.059999999999999998,0.001,4331878.6796912756,17454.823404387786,70153.854575254649,58277.379309991178,61135.571669518933,218040.12981235114,436175.27445767476,421676.49272517965,407589.37339801533,388319.46422172926,365952.5516757266,372418.25870490423,319168.55009817606,300928.70095325052,260586.664687635,238495.13665470225,144060.3514651088,251446.10187766905
0.070000000000000007,0.001,4331866.3824637523,17454.770583570291,70153.484964885502,58277.176886081281,61135.417772254361,218039.70680154287,436174.16277867754,421675.28397488978,407588.25049608643,388318.46054886148,365951.63525675307,372417.25765920978,319167.43744731077,300927.67763711722,260586.00763845324,238494.4040615558,144059.91241193653,251445.33554456578
0.080000000000000002,0.001,4331854.0871105287,17454.717769886385,70153.115382557517,58276.974439920392,61135.263786911644,218039.28350223022,436173.05117319821,421674.07547884912,407587.12781447155,388317.45704824053,365950.7189603541,372416.25677423971,319166.32498431706,300926.65457161819,260585.35083029667,238493.67168942446,144059.47348034388,251444.56942366925
0.089999999999999997,0.001,4331841.7918183338,17454.664956922716,70152.745802523132,58276.772012530448,61135.109842261991,218038.86033903636,436171.93962623156,421672.86696862028,407586.00512862194,388316.4535598252,365949.80269175407,372415.25590307009,319165.21251177776,300925.6314640856,260584.6939733274,238492.93927025751,144059.03451813327,251443.80324935433
0.10000000000000001,0.001,4331829.4970140923,17454.612146248823,70152.376231075483,58276.569595331683,61134.955904462935,218038.4372000639,436170.82814234524,421671.65850740782,407584.88249176502,388315.4501220652,365948.88647442369,372414.2550819082,319164.10007689876,300924.60838445486,260584.03713695778,238492.20686830443,144058.59556301814,251443.03708735929
0.11,0.001,4331817.2006550394,17454.559330126391,70152.00663711378,58276.367154754771,61134.801938388715,218038.01397311912,436169.71650819865,421670.44991135603,407583.7597249173,388314.44655209169,365947.97012143617,372413.25411659078,319162.98752925894,300923.5851997491,260583.38020975815,238491.47438120836,144058.15654730776,251442.27081966356
0.12,0.001,4331804.9052294232,17454.506514435769,70151.637044256378,58276.164714375402,61134.648001909278,218037.59083857571,436168.60491488874,421669.24136923585,407582.63700461364,388313.44303678127,365947.05383604084,372412.25323968643,319161.87505221862,300922.56210192078,260582.72336554521,238490.74197361298,144057.71758178229,251441.50463954319
0.13,0.001,4331792.6103430828,17454.453704571486,70151.267474212378,58275.962294518969,61134.494035144795,218037.16761302215,436167.49343447411,421668.03292603424,407581.51438409393,388312.43961077317,365946.13762188394,372411.25241988309,319160.76262472064,300921.53902936506,260582.06653306424,238490.00957116132,144057.2786127766,251440.73845338341
