relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.001,259007113.18368429,3352042.6664677602,13472601.363937501,18336534.39748688,19235732.638147965,19827418.707051717,19193796.046274785,18555815.734516568,17935901.996643156,17087915.420304585,16103656.424890039,16388196.413543621,17191032.358277518,16208590.64689143,14035618.01556994,12068524.555748012,7289857.8235827573,12723877.974350074
0.01,0.001,259006353.04133454,3352032.5249848482,13472530.394010991,18336470.714004241,19235684.209014565,19827380.232996438,19193747.136747964,18555762.556626514,17935852.595554926,17087871.26427301,16103616.106863786,16388152.372346567,17190972.440347578,16208535.541449262,14035582.63663429,12068487.494209159,7289835.61327771,12723839.207992684
0.02,0.001,259005592.80817753,3352022.3825302199,13472459.420057351,18336407.02003593,19235635.761276267,19827341.741166156,19193698.220027626,18555709.374775622,17935803.190242175,17087827.103617545,16103575.783808511,16388108.32661308,17190912.518782135,16208480.434234643,14035547.256734824,12068450.431877032,7289813.4021675428,12723800.44023093
0.029999999999999999,0.001,259004832.64662999,3352012.2406350351,13472388.448234167,18336343.333505638,19235587.333135266,19827303.268371575,19193649.308598105,18555656.195180733,17935753.787460674,17087782.94605989,16103535.464455865,16388064.284170434,17190852.599592973,16208425.327757575,14035511.876907319,12068413.369493622,7289791.1908910442,12723761.67218007
0.040000000000000001,0.001,259004072.60409224,3352002.1005538865,13472317.483581547,18336279.655141808,19235538.90798533,19827264.798792385,19193600.406879775,18555603.025716707,17935704.394373093,17087738.797582969,16103495.153452756,16388020.250259023,17190792.689497449,16208370.22980769,14035476.504356548,12068376.31323242,7289768.9829434147,12723722.909935415
0.050000000000000003,0.001,259003312.46309844,3351991.9589801934,13472246.512810232,18336215.9658967,19235490.477601185,19827226.324157968,19193551.496607151,18555549.849110361,17935654.994212255,17087694.642140608,16103454.83571391,16387976.209742136,17190732.773025151,16208315.126631381,14035441.127569547,12068339.253333943,7289746.7724000858,12723684.143165596
0.059999999999999998,0.001,259002552.32231832,3351981.8177753352,13472175.543405108,18336152.280080773,19235442.038313791,19827187.841251854,19193502.587920815,18555496.673783496,17935605.595367152,17087650.488093156,16103414.519257911,16387932.170455851,17190672.857659988,16208260.024293287,14035405.751401963,12068302.19394687,7289724.5622435091,12723645.377067467
0.070000000000000007,0.001,259001792.06009254,3351971.6741939466,13472104.564330682,18336088.590261433,19235393.616715565,19827149.375334699,19193453.669483554,18555443.483810443,17935556.183070559,17087606.322362952,16103374.193063278,16387888.120335706,17190612.929397509,16208204.907669451,14035370.362205692,12068265.12335794,7289702.3453265764,12723606.59917256
0.080000000000000002,0.001,259001031.85251844,3351961.5319823227,13472033.590639144,18336024.893447604,19235345.167408522,19827110.883177657,19193404.754276562,18555390.305023476,17935506.780471794,17087562.164219979,16103333.872263391,16387844.077287043,17190553.011251751,16208149.80454863,14035334.985992791,12068228.063950095,7289680.1345632235,12723567.832014445
0.089999999999999997,0.001,259000271.66869476,3351951.3899093531,13471962.617391577,18335961.202531051,19235296.730906129,19827072.403395299,19193355.841649413,18555337.125610422,17935457.377685908,17087518.006607134,16103293.552682495,16387800.034849778,17190493.092591483,16208094.699157735,14035299.607155362,12068191.002164982,7289657.9222515896,12723529.062155027
0.10000000000000001,0.001,258999511.51478735,3351941.2482757801,13471891.645788638,18335897.514826983,19235248.296555605,19827033.925816003,19193306.931793194,18555283.948360011,17935407.97705524,17087473.851226803,16103253.23535805,16387755.994608756,17190433.175962918,16208039.595274344,14035264.229423685,12068153.941247797,7289635.710296574,12723490.292916987
0.11,0.001,258998751.26552227,3351931.1055965349,13471820.669861227,18335833.819764595,19235199.853311881,19826995.440242354,19193258.015330713,18555230.765168566,17935358.57070921,17087429.690031804,16103212.912064005,16387711.94802727,17190373.25325593,16207984.485724233,14035228.846800247,12068116.876024077,7289613.4952766877,12723451.518332921
0.12,0.001,258997991.07375503,3351920.9629994608,13471749.69415128,18335770.124770042,19235151.419376902,19826956.963068772,19193209.100660946,18555177.584354848,17935309.166402936,17087385.531234764,16103172.591744967,16387667.905334152,17190313.334356681,16207929.380860589,14035193.468644939,12068079.814821407,7289591.2827953426,12723412.748176968
0.13,0.001,258997230.90387842,3351910.8215217832,13471678.722816462,18335706.436223976,19235102.975916181,19826918.477615334,19193160.190962441,18555124.407893442,17935259.76649503,17087341.376373585,16103132.274565101,16387623.865151757,17190253.418121412,16207874.277358627,14035158.091123974,12068042.753883326,7289569.0701397676,12723373.977716211
0.14000000000000001,0.001,258996470.77164111,3351900.679738882,13471607.750136938,18335642.745961044,19235054.54667246,19826880.005355854,19193111.281311292,18555071.231481198,17935210.366499733,17087297.221876878,16103091.958456442,16387579.826644922,17190193.503361814,16207819.175938714,14035122.715699673,12068005.694883492,7289546.8585322248,12723335.209089514
0.14999999999999999,0.001,258995710.53640571,3351890.5369373225,13471536.773245277,18335579.049032122,19235006.105057023,19826841.52166874,19193062.365009926,18555018.049000558,17935160.960687581,17087253.061502062,16103051.636306666,16387535.781677639,17190133.582345657,16207764.068602296,14035087.335136682,12067968.63136881,7289524.6438073562,12723296.435019957
0.16,0.001,258994950.29117513,3351880.3940601633,13471465.795930535,18335515.35071896,19234957.659861971,19826803.034744244,19193013.448048178,18554964.86641071,17935111.554703873,17087208.90088382,16103011.313811922,16387491.7364501,17190073.661279663,16207708.961517431,14035051.954879755,12067931.568090685,7289502.4289932391,12723257.660789885
0.17000000000000001,0.001,258994190.0737046,3351870.251518616,13471394.819847114,18335451.654769812,19234909.217891399,19826764.551057231,19192964.533365767,18554911.685603406,17935062.150477786,17087164.742120624,16102970.993245628,16387447.693159729,17190013.741983127,16207653.855794061,14035016.575637463,12067894.505613603,7289480.214497719,12723218.88712153
