relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.01,235372049.27524781,2895617.9773231703,11638129.10943263,17007114.834352162,18076925.263523124,18672570.613979522,17765136.24142243,18182109.807020038,17540863.76717335,16706233.25161471,15745019.042547792,16088519.006922355,15479260.163671438,14413230.492527669,12372695.939118374,8702132.0690407213,5130902.3132895473,8955589.3822887503
0.01,0.01,237401506.87077594,2929320.7737699533,11773359.577284059,17767218.596578065,18815637.318768483,19405001.990408305,18480488.301660404,17664813.512027539,17046092.35094275,16245546.407704037,15325397.625189031,15614470.735139985,15480252.055051457,14422599.453779157,12387838.120407442,9142935.684563119,5427411.4298055628,9473122.9376965873
0.02,0.01,216916494.05654842,2707578.1607563719,10881883.436495433,16435126.636794146,17686981.379550606,18295555.061297797,16918842.06913773,17008906.447542157,16467074.992491627,15681116.370729219,14756714.739354983,14911405.134364879,13494295.386910353,12259113.531746665,10429871.353424769,7403291.1986187771,4217471.344974665,7361266.8123582732
0.029999999999999999,0.01,224113172.97441483,2757370.6702638017,11081765.598583434,16549607.849591061,17742329.322706867,18329118.848496996,17148747.704232767,17161508.038306434,16571704.208257705,15791209.037220662,14888337.999070778,15164767.394804334,14697776.054690814,13648484.249613125,11697790.356783431,8070469.6565492954,4666745.7360308114,8145440.2492125053
0.040000000000000001,0.01,213277888.4889932,2621846.941341321,10536938.639483668,16124719.719763521,17414319.261878703,18009829.931760624,16643974.022549883,16498643.134361064,15949604.147955954,15190426.624893326,14314706.363900203,14515452.830074672,14360150.611328891,13247165.173471184,11277559.452541221,6483671.953273898,3674801.2418450764,6414078.4385699844
0.050000000000000003,0.01,231739571.81082007,2839372.1679323437,11411074.690384861,16776778.033966929,17914080.632904403,18493771.698315255,17460977.887805782,17762362.802842248,17119552.646230485,16312704.694052482,15390085.430048931,15763601.846796136,15321443.022606457,14356728.102831995,12350975.83128755,8563144.5698601697,5064036.8412200753,8838880.9117339682
0.059999999999999998,0.01,215610961.70949405,2666737.5836409228,10716534.918954294,16298752.265182436,17599841.902445562,18213730.630642928,16736194.744022477,16736897.043576231,16215090.173506122,15439238.545752924,14527919.375889644,14654474.771100014,14152487.494617302,12964869.71751811,11031822.990857979,6911310.1992465081,3913809.9100244539,6831249.4425161127
0.070000000000000007,0.01,228490414.89633417,2845128.5568121239,11433518.136829494,17105887.413589843,18251190.636871107,18847423.746685568,17743231.250042401,17704866.862807862,17111067.166693959,16295270.840048458,15345287.281469863,15578739.713077325,14657572.002825892,13566024.020541344,11620250.255409107,7876477.3427146347,4556122.9218416568,7952356.7480735257
0.080000000000000002,0.01,231717905.36210996,2931444.9385514818,11780045.963234358,17690732.715036422,18744036.050360784,19338993.018727016,18356254.938148417,17391792.332210172,16830660.463490922,16034637.222940976,15100511.567574507,15262471.564382508,14548007.851552362,13371858.150762722,11449196.652408499,8816418.3304650895,5125202.6092274757,8945640.9930362459
0.089999999999999997,0.01,216277140.35010752,2725945.4878678583,10953939.668383827,16546056.434116956,17782826.210691608,18360955.74938466,17039248.783951659,16297462.165731385,15758293.312306598,15020636.603718486,14164099.52763271,14355154.596753497,14076547.805471543,13020220.923527848,11131687.179254554,7357122.7006811555,4256884.2441973928,7430058.9564357717
