relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.31,215446126.61245704,2697725.3078206237,10842754.494065745,16202625.131482249,17493941.872304395,18074428.664471783,16655787.513762318,16388284.542122349,15846465.521622993,15105011.763850551,14240365.144733703,14447533.122099882,13911267.714544697,12864779.187842036,11015353.465873361,7596626.7797165848,4393924.4428102141,7669251.9433335736
0.01,0.31,217487021.74461257,2677536.9053452499,10752933.013349859,16195216.349658215,17463829.098316085,18047207.014009651,16692942.177923433,16370458.162058344,15824561.154567897,15084670.763688684,14226499.046166087,14447002.415963266,14322023.756399073,13266693.012099002,11359036.01600267,8001690.5949464655,4645814.9939824464,8108907.2701362101
0.02,0.31,213455351.95082918,2624423.498682484,10529214.181142835,16118565.701623518,17444466.398454238,18046124.759026989,16560940.273815574,16172451.955496704,15652909.218642643,14913678.164568545,14052981.989577001,14208504.90501241,14157593.435707767,13059290.685053708,11142395.052289639,7268210.9376152959,4190103.1074706037,7313497.6866492378
0.029999999999999999,0.31,235139873.93890113,2950222.7800229369,11832542.108566258,17268804.178891458,18306270.650955092,18890301.407106437,18059066.862499014,17981339.986479398,17342079.208321828,16523885.376653969,15581911.755590774,15924136.440808937,15311097.110708712,14304056.597006507,12303480.068030193,8665111.5898373257,5061359.6807147125,8834208.136707617
0.040000000000000001,0.31,217056169.11317274,2697235.7809527232,10804501.655287238,16328354.24226341,17599452.222642899,18204796.380318742,16842600.582756042,16664380.234477181,16119724.407434814,15357672.103954257,14468211.121708881,14655028.64896507,14064095.456006687,12954280.823308684,11064304.97315027,7440815.3058705041,4294682.4299998097,7496032.7440755786
0.050000000000000003,0.31,232543842.07564569,2895373.2410015292,11594086.04965423,17129288.238319587,18218423.588427898,18818453.92522236,17871338.370331462,17741330.87898957,17116794.02918081,16306930.04349971,15375644.226539671,15690227.715480756,15217155.821455145,14192143.961659152,12188569.338887615,8481597.0109710135,4992487.8727755845,8713997.7632495742
0.059999999999999998,0.31,218484579.58467764,2720897.9513671352,10884573.103437336,16350178.828482101,17587463.673089392,18183386.553786822,16914685.272043221,16721025.695851248,16162589.50430702,15399494.759330185,14513423.30778759,14734077.660399163,14262030.329324152,13197300.130498415,11291162.370314494,7558020.6166340113,4372468.1578916097,7631801.6701337267
0.070000000000000007,0.31,207374461.53437486,2576780.9060728457,10295957.584577754,15797533.320317024,17149786.665578924,17749440.392736115,16251128.682392413,15809333.689926937,15292244.986793596,14577875.330751868,13744314.854101736,13915732.913930764,13318661.80813304,12254934.30988369,10460905.434538417,7011647.5971059129,4067929.6389669413,7100253.4185668603
0.080000000000000002,0.31,221856155.39396927,2747352.9377023634,10970684.167184372,16632878.839096103,17859796.328784045,18473461.792782612,17233706.327605739,16777745.238899484,16216075.965318298,15453160.499617593,14567789.382074134,14782642.601417039,14443083.576024352,13372570.786478411,11449531.21041172,8023318.8927213885,4681377.6802672409,8170979.1675843541
0.089999999999999997,0.31,215404016.24151543,2676526.2141918833,10681246.38395519,16190555.376977634,17446770.023944911,18055321.328535918,16774560.5604656,16456179.631975891,15902832.927344646,15153311.998703005,14285867.942147411,14505681.5135419,14082969.69352877,13003019.050479865,11108807.807048829,7362008.4829542097,4268326.6032611439,7450030.7024586238
0.10000000000000001,0.31,215051078.76388475,2656677.5394638893,10582929.027453173,16287212.664464826,17585529.941582538,18212318.164440751,16824415.019540943,16319285.015139943,15792856.070568047,15047866.210915651,14178325.231585914,14333536.948294923,14013429.56358327,12894620.022334933,11004743.544516873,7473424.579772749,4314057.9740248723,7529851.2462014966
0.11,0.31,230086586.95636028,2850750.8825656623,11360996.802310741,16886736.451851711,18003207.122554265,18621953.718569145,17652917.491711184,17505139.18483077,16894935.727350987,16097126.488798978,15177259.095924146,15475265.865531005,15105072.590173531,14094846.321138039,12111308.722963898,8533290.9206790868,4995873.1203444144,8719906.4490627367
0.12,0.31,196982717.23778817,2437160.7785905921,9689705.4498988725,15053820.919859679,16510065.058795262,17132396.940984808,15445131.153668394,15164359.305984939,14683219.233383156,13995516.687478965,13190481.012653496,13315348.609099492,12770808.754397236,11677585.762141407,9929040.3026510663,6239101.925500568,3550993.56154546,6197981.7811547574
0.13,0.31,217775809.85257408,2701785.6256461716,10752457.223518057,16097487.628175497,17386400.36087985,17995649.986238733,16656066.18883379,16473389.482632509,15913797.714808518,15172747.432554891,14312387.615347238,14558042.974377362,14151208.294149652,13141770.640388584,11278176.427966351,8135538.4342706595,4752968.4849041067,8295935.3378821323
0.14000000000000001,0.31,219382905.81832439,2720943.0086936927,10816748.393372262,16290140.5212426,17514960.151849505,18129823.966567986,16949542.967917033,16567226.320073659,16003922.307146056,15252227.022645088,14383646.144937474,14624000.551827611,14550110.673379736,13540272.843791448,11609206.583022485,7869915.7805842999,4574968.4436127422,7985250.1376606934
