relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.31,190768162.8015888,2365641.8014993453,9508037.0850079264,14032955.105825732,14914555.335869031,15381985.417823888,14676962.619572859,14560883.217741299,14036326.729789263,13374988.460943194,12619725.442141645,12911686.580383098,12607934.233196337,11782825.889438963,10122038.783797922,6859226.1493402002,4011183.1335327756,7001206.8156853411
0.01,0.31,184544495.27474847,2274569.2690575449,9135548.6393260472,13468072.346830921,14416607.833058674,14879480.163670575,14053718.330106009,13858472.59647605,13371908.181406308,12745557.486959886,12027985.765441947,12281966.284658626,12426533.996294748,11657944.927183004,10024114.72048172,6845243.2422764003,4034633.6415789407,7042137.8499410627
0.02,0.31,177498076.58183134,2196716.7888145163,8815226.5259889867,13210309.462812571,14339645.499031585,14811958.52279433,13630803.815708464,13334481.22333267,12889649.806724478,12296473.940258147,11605217.039537873,11791408.436967166,11475666.699481212,10643478.677281832,9129399.8133398946,6640436.1270652534,3892736.5929133804,6794467.6097789872
0.029999999999999999,0.31,191707176.15537843,2396478.5699120532,9609699.5471257512,14392616.979262089,15373225.534127712,15871597.003922414,14965619.359624889,14634235.183953436,14138690.561401792,13470497.636489479,12696616.794508753,12901176.209028607,12488576.93220791,11570617.310899226,9904078.4944963697,6666448.0501746871,3870808.3746095123,6756193.6136337509
0.040000000000000001,0.31,187474429.77709568,2342101.9899286884,9386027.4661449548,13594533.07757609,14490806.0535118,14965161.768276017,14212847.167752765,14227297.792910371,13724856.762186669,13077807.573524153,12334844.714795329,12604601.51257612,12366353.589629589,11568655.205938401,9952758.1608890798,7103961.0999524212,4196737.8058632175,7325078.0356399659
0.050000000000000003,0.31,177387183.35058847,2197255.5872138501,8798605.2848338187,13126993.592060624,14099127.935655799,14565491.052727947,13661655.029004438,13543940.686744219,13077804.396045392,12463604.277655143,11754347.152737524,11970704.313417938,11719554.409477079,10933564.082795652,9383129.7528821975,6205642.0974343251,3600817.724752882,6284945.975149665
0.059999999999999998,0.31,183776983.94066566,2299228.0581224207,9200537.2747868821,13701181.993329,14777594.914176799,15267794.247030385,14233982.542253153,13966808.746369209,13488294.827455752,12858575.760077216,12131069.692851186,12346610.989105398,11984222.209157286,11148548.938061943,9561291.5969571024,6456469.4126987597,3771650.8522900157,6583121.8859431455
0.070000000000000007,0.31,176239804.25139967,2183961.134970976,8731458.0480555203,12976406.758502223,13949414.581228033,14411416.357990488,13482007.724220231,13344072.563500943,12886049.044770511,12286332.547743402,11591127.935501814,11804276.007828837,11380568.743987873,10580490.00764242,9088643.7347290237,6704844.6309375977,3947930.3749001981,6890804.0548896017
0.080000000000000002,0.31,179186257.26366067,2244029.1129651503,8966319.9401840344,13436329.103510655,14357736.137805607,14821998.69934863,13998064.418037919,13432466.06764435,12965508.143999917,12360433.3894572,11664780.592349093,11880434.044608101,11766864.817147803,10963601.821254721,9407042.2378672287,6496054.6940568658,3797082.7543634176,6627511.2890599407
0.089999999999999997,0.31,195684346.04491812,2421693.549488076,9661360.6992229,14770574.522348963,16043302.781048486,16594967.085420951,15240005.549114818,14837728.28506045,14345993.079924976,13681220.638074169,12907395.194682827,13087367.560893491,12668939.198576905,11697074.279161545,10000631.081064545,6843511.5210788622,3963901.1760652554,6918679.843690915
