"","efficacy","age_group","age_group_num","doses"
"1",10,"0-",1,1.588058
"2",20,"0-",1,0.5305039878
"3",30,"0-",1,0.9562379518
"4",40,"0-",1,0.1028695678
"5",50,"0-",1,0
"6",60,"0-",1,9.6e-08
"7",70,"0-",1,0.176837805
"8",80,"0-",1,0.0808143884
"9",10,"1-",2,6.3827568
"10",20,"1-",2,2.1322130192
"11",30,"1-",2,3.8433320966
"12",40,"1-",2,0.4134555744
"13",50,"1-",2,0
"14",60,"1-",2,3.86e-07
"15",70,"1-",2,0.7107503026
"16",80,"1-",2,0.324810924
"17",10,"5-",3,142.4270438
"18",20,"5-",3,172.778446048
"19",30,"5-",3,180.950367524
"20",40,"5-",3,192.740992398
"21",50,"5-",3,194.192732574
"22",60,"5-",3,202.204263012
"23",70,"5-",3,202.83207934
"24",80,"5-",3,202.16506386
"25",10,"10-",4,143.740717886
"26",20,"10-",4,174.37206592
"27",30,"10-",4,182.619361014
"28",40,"10-",4,194.518736572
"29",50,"10-",4,195.983866862
"30",60,"10-",4,204.06929156
"31",70,"10-",4,204.70289854
"32",80,"10-",4,204.02973084
"33",10,"15-",5,151.151768862
"34",20,"15-",5,165.311740706
"35",30,"15-",5,169.000375866
"36",40,"15-",5,174.70560143
"37",50,"15-",5,175.40271487
"38",60,"15-",5,179.07390446
"39",70,"15-",5,179.30680662
"40",80,"15-",5,178.921785547
"41",10,"20-",6,166.20710866
"42",20,"20-",6,153.8275872
"43",30,"20-",6,150.16653128
"44",40,"20-",6,145.89895556
"45",50,"20-",6,145.35933136
"46",60,"20-",6,141.91564404
"47",70,"20-",6,141.50070494
"48",80,"20-",6,141.5772451804
"49",10,"25-",7,169.99342676
"50",20,"25-",7,157.33189086
"51",30,"25-",7,153.58743344
"52",40,"25-",7,149.22263926
"53",50,"25-",7,148.67072202
"54",60,"25-",7,145.14858502
"55",70,"25-",7,144.72419332
"56",80,"25-",7,144.8024771602
"57",10,"30-",8,161.79094832
"58",20,"30-",8,149.74035362
"59",30,"30-",8,146.17657282
"60",40,"30-",8,142.02238758
"61",50,"30-",8,141.49710132
"62",60,"30-",8,138.14491358
"63",70,"30-",8,137.7409995
"64",80,"30-",8,137.8155059908
"65",10,"35-",9,154.2722116
"66",20,"35-",9,142.78163118
"67",30,"35-",9,139.38346608
"68",40,"35-",9,135.42233382
"69",50,"35-",9,134.9214586
"70",60,"35-",9,131.72505346
"71",70,"35-",9,131.33991008
"72",80,"35-",9,131.4109541178
"73",10,"40-",10,146.269283548
"74",20,"40-",10,135.37478122
"75",30,"40-",10,132.1528972
"76",40,"40-",10,128.39725012
"77",50,"40-",10,127.92235798
"78",60,"40-",10,124.89176756
"79",70,"40-",10,124.52660366
"80",80,"40-",10,124.5939622792
"81",10,"45-",11,155.56228468
"82",20,"45-",11,143.97561628
"83",30,"45-",11,140.54903464
"84",40,"45-",11,136.5547781
"85",50,"45-",11,136.04971442
"86",60,"45-",11,132.8265799
"87",70,"45-",11,132.43821584
"88",80,"45-",11,132.5098539848
"89",10,"50-",12,0.2119629624
"90",20,"50-",12,0.6358877168
"91",30,"50-",12,0.2119626082
"92",40,"50-",12,-2.2e-09
"93",50,"50-",12,0
"94",60,"50-",12,-1.134e-07
"95",70,"50-",12,-2e-09
"96",80,"50-",12,0.6098838794
"97",10,"55-",13,0.2133319688
"98",20,"55-",13,0.639994728
"99",30,"55-",13,0.2133316122
"100",40,"55-",13,-2.2e-09
"101",50,"55-",13,0
"102",60,"55-",13,-1.14e-07
"103",70,"55-",13,-2e-09
"104",80,"55-",13,0.6138229394
"105",10,"60-",14,0.1890961778
"106",20,"60-",14,0.567287489
"107",30,"60-",14,0.1890958618
"108",40,"60-",14,-2e-09
"109",50,"60-",14,0
"110",60,"60-",14,-1.012e-07
"111",70,"60-",14,-1.8e-09
"112",80,"60-",14,0.5440889754
"113",10,"65-",15,0
"114",20,"65-",15,-8e-10
"115",30,"65-",15,-1.6e-09
"116",40,"65-",15,0
"117",50,"65-",15,0
"118",60,"65-",15,-9.54e-07
"119",70,"65-",15,0
"120",80,"65-",15,4e-10
"121",10,"70-",16,0
"122",20,"70-",16,-6e-10
"123",30,"70-",16,-1.2e-09
"124",40,"70-",16,0
"125",50,"70-",16,0
"126",60,"70-",16,-6.698e-07
"127",70,"70-",16,0
"128",80,"70-",16,2e-10
"129",10,"75-",17,0
"130",20,"75-",17,-1e-09
"131",30,"75-",17,-2e-09
"132",40,"75-",17,0
"133",50,"75-",17,0
"134",60,"75-",17,-1.1692e-06
"135",70,"75-",17,0
"136",80,"75-",17,2e-10
