R0,doses,efficacy,iter1,objective,prop_vac1,prop_vac2,prop_vac3,prop_vac4,prop_vac5,prop_full_vac1,prop_full_vac2,prop_full_vac3,prop_full_vac4,prop_full_vac5,prop_full_vac6,prop_full_vac7,prop_full_vac8,prop_full_vac9,prop_full_vac10,prop_full_vac11,prop_full_vac12,prop_full_vac13,prop_full_vac14,prop_full_vac15,prop_full_vac16,prop_full_vac17,tot_vac1,tot_vac2,tot_vac3,tot_vac4,tot_vac5,tot_vac6,tot_vac7,tot_vac8,tot_vac9,tot_vac10,tot_vac11,tot_vac12,tot_vac13,tot_vac14,tot_vac15,tot_vac16,tot_vac17
1.2502278419482749,140000000.0,0.10000000000000001,0,19999.915769985873,-0.0,0.511,-0.0,1.0,1.0,-0.0,-0.0,0.511,0.511,0.307,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,10439476.309,10535764.69,6478364.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,21839056.0,21980108.0,19483036.0,16820083.0,11810247.0,20613865.0
1.4880642481299424,140000000.0,0.10000000000000001,1,40817.944232092006,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.08,0.2,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1694596.974,4487319.464,4589543.846,4368090.367,4165096.807,3949030.871,4199926.671,21839056.0,21980108.0,19483036.0,16820083.0,11810247.0,20613865.0
1.4125101358413115,140000000.00000012,0.10000000000000001,2,39412.18821457713,-0.0,-0.0,1.0,0.049,-0.0,-0.0,-0.0,-0.0,-0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.049,0.049,0.049,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8451999.6,22381028.0,22890884.0,21786359.0,20773905.0,19696251.0,20947623.0,1059813.037,1066658.056,945479.308,-0.0,-0.0,-0.0
1.6538216345752954,140000000.00000003,0.10000000000000001,3,38908.33824020135,-0.0,-0.0,1.0,-0.0,0.062,-0.0,-0.0,-0.0,-0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,0.062,0.062,0.062,-0.0,-0.0,-0.0,-0.0,8451999.6,22381028.0,22890884.0,21786359.0,20773905.0,19696251.0,20947623.0,-0.0,-0.0,-0.0,1049270.086,736746.595,1285933.719
1.6549880161449604,139999999.99999997,0.10000000000000001,4,147648.13139684874,-0.0,-0.0,0.663,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.265,0.663,0.663,0.663,0.663,0.663,0.663,-0.0,-0.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,5601978.775,14834127.988,15172060.149,14439981.836,13768928.111,13054659.876,13884068.266,-0.0,-0.0,-0.0,16820083.0,11810247.0,20613865.0
1.7800186682404315,140000000.0,0.10000000000000001,5,153484.11253942596,0.0,0.0,0.663,0.0,1.0,0.0,0.0,0.0,0.0,0.265,0.663,0.663,0.663,0.663,0.663,0.663,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5601978.775,14834127.988,15172060.149,14439981.836,13768928.111,13054659.876,13884068.266,0.0,0.0,0.0,16820083.0,11810247.0,20613865.0
1.5787627764689196,140000000.0,0.10000000000000001,6,85646.11342285015,-0.0,-0.0,0.2,1.0,1.0,-0.0,-0.0,-0.0,-0.0,0.08,0.2,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1694596.974,4487319.464,4589543.846,4368090.367,4165096.807,3949030.871,4199926.671,21839056.0,21980108.0,19483036.0,16820083.0,11810247.0,20613865.0
1.6334889222621318,140000000.00000003,0.10000000000000001,7,36803.487116038326,0.0,0.0,0.56,1.0,-0.0,0.0,0.0,0.0,0.0,0.224,0.56,0.56,0.56,0.56,0.56,0.56,1.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,4734236.534,12536332.872,12821919.599,12203239.659,11636131.644,11032503.014,11733436.677,21839056.0,21980108.0,19483036.0,-0.0,-0.0,-0.0
1.4444276433460153,139999999.99999997,0.10000000000000001,8,32588.00029603974,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.08,0.2,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1694596.974,4487319.464,4589543.846,4368090.367,4165096.807,3949030.871,4199926.671,21839056.0,21980108.0,19483036.0,16820083.0,11810247.0,20613865.0
1.365394321643703,140000000.00000003,0.10000000000000001,9,63244.43765348336,-0.0,-0.0,0.56,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.224,0.56,0.56,0.56,0.56,0.56,0.56,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4734236.534,12536332.872,12821919.599,12203239.659,11636131.644,11032503.014,11733436.677,21839056.0,21980108.0,19483036.0,-0.0,-0.0,-0.0
1.4001668013510913,140000000.0,0.10000000000000001,10,76344.33226454281,-0.0,-0.0,0.2,1.0,1.0,-0.0,-0.0,-0.0,-0.0,0.08,0.2,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1694596.974,4487319.464,4589543.846,4368090.367,4165096.807,3949030.871,4199926.671,21839056.0,21980108.0,19483036.0,16820083.0,11810247.0,20613865.0
1.8136940522411258,140000000.00000015,0.10000000000000001,11,64852.07429156894,0.0,-0.0,0.2,1.0,1.0,0.0,0.0,-0.0,-0.0,0.08,0.2,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,1694596.974,4487319.464,4589543.846,4368090.367,4165096.807,3949030.871,4199926.671,21839056.0,21980108.0,19483036.0,16820083.0,11810247.0,20613865.0
1.7094755540578555,140000000.0,0.10000000000000001,12,138859.50419361144,0.0,0.0,0.663,0.0,1.0,0.0,0.0,0.0,0.0,0.265,0.663,0.663,0.663,0.663,0.663,0.663,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5601978.775,14834127.988,15172060.149,14439981.836,13768928.111,13054659.876,13884068.266,0.0,0.0,0.0,16820083.0,11810247.0,20613865.0
