"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"1",0,0.16,154583918.804303,1843256.31673369,7408453.73478494,12545349.4606999,14462862.5239997,15030302.4518597,12269986.1364331,11783690.2456648,11507913.9240293,10989555.7404427,10347251.2702552,10204841.9180587,9462277.01661362,8334452.15904122,6984368.73823724,4525134.88542194,2507528.11636283,4376694.16566442
"2",0.01,0.16,154062428.253056,1840513.19531544,7393443.825237,12585653.3553775,14508403.1747155,15077095.091842,12307980.5755713,11721597.5560881,11445834.7829922,10930729.3583685,10293709.482902,10150412.7146111,9418426.34126583,8288017.52328002,6939198.08639164,4428992.06994566,2452235.64799174,4280185.47116086
"3",0.02,0.16,155809507.402944,1851486.60607367,7433465.18128857,12687189.704003,14604948.6063814,15178356.4708777,12426270.1314901,11829377.391236,11547444.6532557,11027655.5666158,10386161.7518587,10249658.8439438,9585003.05887495,8453261.5887836,7084381.47054234,4545138.63839635,2520453.43582654,4399254.30349572
"4",0.03,0.16,152101754.337067,1812882.09768528,7274384.28751441,12459110.2754092,14396415.1799226,14964401.6418259,12170055.309386,11478757.2735382,11211424.4892392,10710574.8656772,10090062.3186712,9941834.77461347,9312550.9355674,8198676.77015553,6866947.84356812,4446112.57232333,2465036.07792347,4302527.62404694
"5",0.04,0.16,156490600.789361,1870002.96188951,7499866.61538973,12691364.2001281,14591309.7623858,15167263.7550423,12451317.0897486,11893241.3038185,11610387.5741237,11086961.1263634,10439892.3790053,10303804.6167041,9583247.30180905,8454219.1458377,7090731.68269017,4656364.20516257,2586351.98455312,4514275.08470951
"6",0.05,0.16,154172088.156948,1832697.66124044,7345964.7502521,12582259.8801985,14507118.9356139,15083971.7787566,12320283.9654491,11751391.080265,11474464.9394172,10960250.9286222,10321589.557635,10177313.0552085,9301452.77192556,8177828.55191236,6854222.85253804,4553145.03093573,2523522.06332583,4404610.35365225
"7",0.06,0.16,153960548.632152,1832694.28562868,7342131.11306075,12527986.563122,14453090.8138498,15031432.5227038,12272149.1962004,11721062.5403291,11445503.508438,10931293.202247,10293802.6516266,10150475.7073635,9375052.75904245,8253215.95945067,6916940.27536838,4526276.00515524,2508700.70347623,4378740.82508911
"8",0.07,0.16,154594889.907391,1853734.31563882,7422369.67939624,12579143.2718836,14496544.9824099,15078532.5649985,12340259.7361752,11777561.6790816,11497881.3705782,10979006.22772,10338742.8989937,10200408.2463691,9483279.03009829,8358997.89313845,7002192.54651461,4436440.4194101,2458563.97398318,4291231.07100147
"9",0.08,0.16,153837108.107998,1836528.0669104,7349303.9532456,12513167.4331363,14435877.6718506,15020866.3631418,12273265.7199653,11707960.8674715,11432324.9865552,10916799.1100234,10279805.4969439,10136534.6128522,9459377.1810471,8329613.98494786,6975231.59119205,4433874.42576003,2453749.2672817,4282827.3756725
"10",0.09,0.16,152417727.248459,1822740.95428588,7290081.0329368,12458562.4630882,14400681.2585763,14983099.9184122,12199959.5539787,11571553.6029465,11299175.0948408,10792779.5923108,10166181.0259118,10022277.5910475,9294895.8462955,8174443.12246821,6844364.79926285,4402154.10018334,2438524.15799025,4256253.13392351
