"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"1",0,0.1,151544900.326699,1820776.80184643,7318103.56894989,12560768.135521,14512953.4289458,15076666.5687639,12232395.1835979,11489567.3444092,11222675.2109884,10720887.3170611,10099205.8268711,9944400.40395591,9135280.24132803,8001882.56443984,6687079.13256487,4254032.0197743,2356004.70975994,4112221.86792154
"2",0.01,0.1,158630329.289523,1887875.48352176,7585302.19239938,13050808.3031296,14948516.3543604,15525104.9863087,12800570.03582,12119599.1777496,11825685.0237223,11290997.2616009,10632209.6290913,10494528.6429666,9633540.68697998,8481253.80889558,7101279.87085211,4463261.11315257,2473134.29249616,4316662.42647563
"3",0.02,0.1,154359969.949568,1855832.30362859,7454239.24092541,12666033.5067998,14591281.4780749,15161525.7362777,12380003.4217905,11665278.7197367,11392868.3698463,10880177.6813923,10247256.5191078,10097965.2577074,9511787.22647445,8376743.10016927,7010447.61669187,4393486.190983,2431336.29708554,4243707.28287684
"4",0.03,0.1,157138119.164908,1860835.4501189,7471738.99883622,12679586.728866,14583758.918512,15159072.4566778,12444376.7947456,11988200.8846729,11701434.3385775,11171911.9867646,10518807.4645333,10387611.7556022,9732377.63281836,8603131.90595746,7216492.07170207,4600703.38410527,2556284.23001767,4461794.16240025
"5",0.04,0.1,159259462.066222,1893417.96633929,7600199.32063461,12939808.1456755,14825853.8389885,15406073.589957,12717863.5668279,12115550.2240797,11821123.2454001,11285379.214236,10627315.47252,10497713.8377872,9864295.77567534,8719208.8232114,7310568.97920386,4609088.18367882,2559170.30341269,4466831.57859455
"6",0.05,0.1,152543003.433297,1812558.30203318,7273087.05897719,12537962.0856986,14472611.0303857,15044196.7905723,12263925.5628928,11541674.8288505,11270337.1158313,10764472.4466997,10140196.0233407,9992229.20986066,9390853.66305603,8254581.78636815,6902398.84425251,4319790.48985344,2390207.69006988,4171920.50455484
"7",0.06,0.1,154620275.505263,1826484.11461898,7326149.73725068,12593066.7195678,14531064.7653201,15109435.848526,12324937.432531,11714951.869943,11438187.7628565,10925095.6406273,10290700.0427881,10148075.3131235,9534915.56229919,8401625.64848644,7038255.03632033,4530958.40871891,2508310.99061838,4378060.61166673
"8",0.07,0.1,152167961.630713,1820914.26052932,7301549.70493097,12460021.875986,14393750.8581246,14967418.8453622,12183777.191312,11584843.75309,11314616.3372217,10805377.0346677,10175442.3072147,10027352.9435831,9317240.58662767,8192544.19354444,6854285.19567602,4277647.55370678,2364364.9585245,4126814.03061136
"9",0.08,0.1,147609430.560224,1760668.59310631,7057350.39505369,12200093.8979441,14180333.0390786,14742809.4381832,11880912.8927483,11117398.1005167,10860957.8717214,10378558.102138,9781350.06875235,9628444.5186513,9031054.04612585,7939493.16061438,6639199.74891379,4132234.71440065,2286924.40054308,3991647.57173208
"10",0.09,0.1,149718074.841084,1779698.51124337,7131615.80738657,12123963.6194795,14062976.2817811,14633225.5725823,11849712.3128405,11455520.8793173,11192024.0397321,10688835.755225,10063129.4728654,9915899.93260697,9147790.84625154,8047876.70206116,6741174.42120214,4324939.06952517,2389320.18440412,4170371.43258011
"11",0.1,0.1,151350516.903021,1797071.47858177,7198882.13558785,12319605.557758,14246476.2164871,14825273.3778146,12066966.6628366,11573216.3951912,11303929.8782607,10794768.4170926,10163515.2658172,10014535.691177,9231889.3736186,8101389.63751699,6775522.92182845,4342860.75111266,2402040.09576446,4192573.04657479
"12",0.11,0.1,149057196.732834,1771646.31117771,7094608.95945694,12149680.4873454,14109854.284493,14684597.6804629,11866589.8373812,11297538.3470293,11038934.5355272,10543580.1009377,9930361.76229068,9777068.10618349,9259757.45496154,8151401.09025876,6817912.53081758,4197636.56832183,2318779.86820501,4047248.80798401
"13",0.12,0.1,158345640.415562,1898599.71071949,7599793.83363884,12918620.0368663,14818712.9983847,15408863.4112783,12701496.1102441,12077021.8798548,11783983.7339928,11251921.1589711,10596291.1503362,10464151.6793772,9653652.42507536,8512664.59385066,7135475.68656691,4574395.55006951,2531485.88047799,4418510.57585724
"14",0.13,0.1,160747532.089666,1917096.38747307,7672026.76152509,12883399.8423937,14766993.9815465,15354085.1811714,12683352.6020992,12210152.7327911,11913414.3805908,11377186.4113644,10713564.2289917,10593723.6246534,9795215.24967117,8669891.3701751,7294730.67763312,5100680.24066802,2841828.67637544,4960189.74054268
"15",0.14,0.1,144921783.83041,1745918.0620593,6984636.39526581,11985915.3075527,13969677.9969649,14535393.2067102,11658275.4012015,10880780.788157,10635396.7994722,10165114.6671334,9580022.564142,9419019.0459126,8767068.38743326,7686662.34921134,6427183.18751135,4156100.36330939,2303696.80746386,4020922.50090948
"16",0.15,0.1,156350036.038513,1874493.43686333,7497267.14949264,12529890.1451338,14409299.5542419,14996552.2838405,12326061.6559272,11973922.1231746,11692620.680324,11163453.8126323,10506195.2707663,10368544.0590565,9508829.63960325,8382525.7319261,7037321.72296651,4787271.77806161,2657437.56643713,4638349.42806509
"17",0.16,0.1,155407016.535892,1865665.42071849,7459944.0688054,12553210.0704629,14455392.9303225,15042473.1695673,12345856.3184609,11810156.5615708,11529599.9685882,11007091.7187908,10364090.9229733,10228666.5684682,9680888.85374825,8551249.30232065,7166370.09467859,4499065.71521697,2494077.56853793,4353217.28266063
"18",0.17,0.1,142898253.143624,1693300.08157172,6765777.66040704,11941170.5804053,13964614.6461494,14538629.5034342,11605196.7146432,10688305.578655,10447369.0804021,9987263.7804643,9416555.52134661,9247909.42344931,8751055.11005989,7659465.61576016,6386641.47784997,3896344.28981331,2152184.50122528,3756469.57798743
"19",0.18,0.1,156913227.211803,1882417.9103801,7520121.62899751,12740962.6996302,14641772.8021276,15241063.6403858,12546492.2931504,12020962.4154887,11731873.3503137,11198305.4013227,10541970.1833721,10406525.5093454,9656991.00814768,8511086.50122728,7126106.7784202,4426495.48069542,2447740.34269881,4272339.26609901
"20",0.19,0.1,147358532.827259,1737125.8779707,6936581.5758144,12134225.3782731,14089868.027487,14667948.6435423,11872703.5821655,11214759.1182418,10952088.4341982,10466302.7311357,9861426.0630559,9712491.95986894,8780488.63956863,7684843.80282631,6429445.12095808,4291469.24767755,2377326.76711147,4149437.85736363
"21",0.2,0.1,146948495.286623,1754233.76098369,7000889.31943382,12148208.7216254,14118423.0085114,14705812.1776327,11871887.1352238,11095864.7036972,10842923.4556144,10359615.2155653,9759948.71918917,9595536.9732487,8947791.44174388,7842999.67003397,6553023.801514,4108074.18971525,2274063.36187314,3969199.6310168
"22",0.21,0.1,157125648.04218,1874931.29859579,7483236.7667725,12710717.8063291,14620216.8454162,15220637.3344812,12518983.9305305,11904697.6297602,11617799.4810291,11093300.4889783,10448171.9991962,10316260.663224,9759218.87327291,8633161.18792141,7242597.9788308,4622635.55232027,2571218.84192206,4487861.36359909
"23",0.22,0.1,155590608.724258,1874250.4098623,7479008.80246914,12635132.3924111,14554091.0801299,15151969.9654441,12423903.7930005,11856873.5180336,11573052.4101932,11050440.2591915,10405902.8498883,10270895.2070857,9500916.73144994,8367489.27113847,7011242.48890993,4531114.36913026,2514850.44910189,4389474.72681834
"24",0.23,0.1,155215120.861448,1846937.42239196,7366933.44287085,12670663.2228901,14574297.2100223,15173359.1332658,12484151.1865632,11752534.1457747,11469920.5049278,10950811.2164064,10314425.9291242,10174575.1399034,9721388.7346175,8580714.55924273,7180030.79368761,4348364.40627356,2406192.70722564,4199821.10626003
"25",0.24,0.1,149892258.175614,1787048.28598117,7125363.35623359,12322932.9221632,14278002.2225689,14869875.2447279,12083024.1912136,11347771.5054079,11081833.7961718,10585589.5058233,9972346.77800646,9821610.45292113,9174562.7899335,8061403.28250787,6740986.17784785,4221086.08654404,2338009.29816523,4080812.27939669
"26",0.25,0.1,147553294.346928,1745857.37983865,6957279.71957261,12101013.2619918,14072671.711684,14661069.2052888,11843438.5973612,11135655.8791417,10878059.2125819,10395366.4832143,9795675.71747808,9642445.92055107,8971764.39491619,7875403.57156865,6590304.13363753,4315302.45241751,2393798.58094703,4178188.12473653
"27",0.26,0.1,151820436.723558,1807509.25661388,7200600.7712056,12329252.2943411,14256305.033955,14852573.1044692,12121277.4898033,11478016.7961424,11207417.2967764,10706751.5748529,10086273.2149088,9944534.34727857,9270165.35474955,8164167.04381634,6843987.36906235,4580368.58254822,2539222.66417479,4432014.52885898
"28",0.27,0.1,145434675.737522,1725137.97954644,6869346.42833135,11927066.39886,13898306.1478388,14489685.3284635,11671947.6899579,11081523.8510671,10828745.0922013,10346226.7690593,9745126.51490084,9585577.32546639,8769748.63348147,7676439.96938109,6416991.94097398,4131325.11147182,2284341.40398438,3987139.15253628
"29",0.28,0.1,151363426.413521,1801160.0367842,7168706.72038594,12417918.9379931,14380687.4343437,14991155.0304809,12191860.6928677,11438770.6087314,11169358.1683998,10669999.2684796,10053078.2548698,9902527.19091877,9267841.73819488,8145715.54888251,6814065.62418603,4342263.65019975,2407031.81110855,4201285.69669484
"30",0.29,0.1,150656770.854668,1781149.37431951,7090301.71173669,12356713.2626525,14316368.4081065,14911565.637466,12126088.5861456,11401016.8660161,11131548.4817696,10633523.0363745,10018839.4247619,9871802.86328419,9297263.10382952,8186747.53927319,6849306.75261904,4243268.68040965,2346184.92573123,4095082.20017227
"31",0.3,0.1,149757532.326283,1799880.00619873,7160955.72200382,12106467.9108045,14042394.8105053,14646055.2654291,11904328.4584046,11597217.5449901,11328089.3078233,10813856.6797411,10176149.812744,10027980.5328068,9090693.93766917,7967604.56822452,6661602.82165185,4155657.370292,2286933.7268757,3991663.85011884
"32",0.31,0.1,148254496.127811,1759920.88026578,7001363.38982723,12088760.7764382,14056479.6135488,14653674.5727601,11861604.301627,11292919.3912077,11032010.7954748,10536021.4742267,9922527.87365167,9768203.39552254,9164631.73304614,8056502.05163866,6733941.32906333,4106739.57198165,2265296.76250874,3953898.21502257
"33",0.32,0.1,149979779.201208,1787689.26903384,7105778.11875951,12209820.7461009,14168818.3605515,14781216.0002768,11996041.7600378,11302574.7002705,11038944.8386726,10546397.8571713,9936749.09425432,9787246.59379794,9224909.13627502,8122452.73919988,6801932.8718595,4427237.94739286,2455713.45510618,4286255.71244756
"34",0.33,0.1,147746528.70251,1769398.77695053,7031603.65904092,12094450.4068165,14059939.5470326,14657839.788505,11855890.5861951,11000232.6562748,10747149.0806086,10270440.1048449,9680868.64184857,9526804.26889757,9167691.29429993,8073626.6418124,6758731.30449434,4379420.38017334,2430388.53197601,4242053.03273912
"35",0.34,0.1,148862574.08619,1752432.63895706,6962380.73538169,12242260.2522649,14205850.2240364,14814022.4365699,12033312.9872614,11335472.2577007,11068927.298667,10575670.5713288,9963420.92707313,9809052.73770029,8967501.06032762,7845233.18098744,6557060.55923078,4259605.33706,2356785.75686612,4113585.12477702
"36",0.35,0.1,148567079.015244,1778910.24156656,7067029.52076564,12191024.0288786,14134718.0792016,14732714.0889026,11977926.3815976,11242068.8216187,10980740.6907422,10489871.4939994,9881574.10899021,9727308.99173255,9025456.19609734,7913036.56925318,6616303.80776425,4288852.89584229,2374696.37877623,4144846.71951521
"37",0.36,0.1,146668348.233955,1751685.49190681,6957290.28288474,11983492.6756876,13934854.6609124,14532758.2568164,11770997.246693,11305905.1299305,11045413.167757,10548539.8432824,9930628.41644369,9773937.12089288,8826188.72977016,7722727.87071701,6452410.8460392,4034821.60596337,2220677.72535236,3876019.16290524
"38",0.37,0.1,151077788.209782,1805580.96039575,7167462.97356999,12320896.5763232,14263721.7083893,14870749.3179476,12129309.3316817,11518824.9412256,11245818.6446499,10738911.0582704,10113780.4566349,9969329.09140591,9269422.23570148,8147449.40013564,6813929.55627345,4252867.13010707,2349269.22423099,4100465.60283885
"39",0.38,0.1,147597918.80896,1750239.97738675,6941256.98399127,11959269.081705,13925064.8491653,14541597.4884372,11779764.1797146,11250031.0028328,10983604.7090071,10488960.7442736,9880734.40946532,9741874.21342408,9233086.3157908,8130780.45957246,6795998.76614578,4054445.10515291,2236891.49268225,3904319.03021249
"40",0.39,0.1,150133079.730042,1789595.45530874,7100417.24145787,12052337.7561965,13980246.5757438,14593795.777617,11897798.6820165,11579772.5358817,11306744.4883661,10793368.6426033,10159544.134332,10020548.3264751,9284768.59833672,8166036.10096396,6832709.32279848,4204847.79847727,2320426.10589281,4050122.18757391
"41",0.4,0.1,149555783.527169,1797479.42211498,7125566.79597843,12095107.6183324,14050510.8400186,14673379.0432707,11906859.7532775,11381291.7378846,11118434.9579163,10619324.633814,9999705.5735185,9847628.9531266,9120453.30943225,8010704.29806958,6706685.79367333,4407959.37581374,2438492.88010871,4256198.54081882
"42",0.41,0.1,143476447.9388,1719568.71818311,6813964.21345284,11721912.7378916,13694452.574792,14303459.4883127,11515018.5282925,10913808.5349653,10662939.5190329,10185206.3181109,9594717.20930991,9440777.67732863,8845310.21371086,7758708.24840554,6479005.58535955,3910209.84805985,2155365.95899844,3762022.56459395
"43",0.42,0.1,143490399.01403,1703352.77220275,6746231.61373441,11654008.7394988,13643061.0351382,14250126.6836426,11436244.1684543,10877625.0429196,10630810.8018852,10156932.8491444,9568417.35358413,9410967.72224131,8843927.6060858,7762466.95327865,6488365.51663852,4098828.17198309,2265237.39315524,3953794.59044281
"44",0.43,0.1,149699181.849226,1776579.16878214,7035569.47906289,12121309.2502562,14070669.0034692,14694322.2300289,11952035.3466437,11537852.3403517,11268642.003875,10762087.032323,10131014.4383621,9979494.82537797,8964117.67586507,7855219.45750459,6576594.60960205,4355584.05359602,2410591.71048972,4207499.22363552
"45",0.44,0.1,147817924.081287,1776478.44652027,7032757.38415523,12074153.5732979,14033552.6487576,14653455.1104248,11878760.6407371,11290072.0935256,11030128.0705249,10536517.2368803,9921801.84128315,9763184.12451744,8885875.58278082,7784451.99000708,6511748.01346315,4233789.87061,2335232.26659377,4075965.18720759
"46",0.45,0.1,145671202.143191,1716477.67843506,6792814.90234429,11709196.2353064,13654304.3556371,14268710.7920442,11551622.1961113,11233338.4855855,10971694.4980909,10477987.2275476,9864595.92125373,9720263.91455235,8912278.34298474,7825995.08610692,6548940.43039816,4147042.35806601,2285965.62135254,3989974.09737433
"47",0.46,0.1,140315950.905208,1638148.09906924,6479689.93725072,11434188.0539616,13451106.8264338,14050582.1815683,11195166.001755,10556851.4006933,10318577.9189884,9864632.86707438,9298780.05035752,9139461.63580718,8635276.41132675,7572755.5144179,6331981.48731567,4109037.68531868,2272770.97078262,3966943.86308658
"48",0.47,0.1,150210966.354278,1777378.58231943,7026835.26987329,12224491.9368428,14179782.1464612,14807900.3437549,12069152.2068055,11497434.6610897,11223074.1282736,10720640.0457545,10097532.4116258,9954972.37939806,9030625.70256341,7922853.90924991,6634263.23585128,4382480.79756676,2426420.8477379,4235127.74911004
"49",0.48,0.1,146268732.095327,1731673.41645483,6846015.62320871,12010744.8863108,13985745.5179714,14616035.8625375,11837237.5797892,11129945.8523028,10870756.8692366,10382710.8887711,9780303.68620632,9619995.94084139,9017043.82043762,7906639.51708207,6598307.99243523,3951521.27587091,2179648.14243706,3804405.2234333
"50",0.49,0.1,151697540.000062,1816462.24675125,7181912.04048027,12306008.1089993,14248429.2213583,14878475.4601606,12156191.8883145,11526581.1756166,11253272.6663475,10746387.223092,10121156.2973009,9976363.17621086,9332895.75225548,8211606.58817949,6873518.40170371,4389721.20542092,2432616.59855497,4245941.94931559
"51",0.5,0.1,152455953.469347,1807080.65823787,7142096.55159306,12328459.0954389,14251635.6948664,14880614.1061075,12204461.4942976,11700125.619601,11421849.2154454,10907114.5233174,10268562.9681923,10122932.0007158,9205214.54028966,8081402.30211895,6768743.72671092,4506162.45307985,2498522.66580623,4360975.85352828
"52",0.51,0.1,151527149.419384,1803116.63392095,7125400.76151002,12301665.6258264,14238268.4178508,14869826.1817267,12172814.3692678,11549295.0170636,11269877.0786643,10761859.3993797,10137462.8668031,10001532.8260991,9373330.1948068,8257031.9001576,6910916.3475325,4272732.84911683,2361028.4808355,4120990.46882272
"53",0.52,0.1,149045741.051994,1790389.4070523,7073399.28266662,12195067.9564265,14138150.3674576,14752733.9360548,12030189.0993701,11329281.3002841,11060514.959845,10565027.0881723,9952065.15862739,9806717.0336396,9007435.62971984,7902229.17176702,6611076.73348736,4296258.991428,2380401.08913196,4154803.84686315
"54",0.53,0.1,146801423.548782,1720774.31762903,6790315.81761204,11874261.4103125,13832440.9391146,14466105.9838661,11742800.3395232,11290813.5258733,11025340.0557363,10530881.9655117,9916605.09689218,9768066.87443167,8903238.90566514,7812358.4483562,6538327.32019089,4207217.82556525,2324551.67520565,4057323.04729668
"55",0.54,0.1,146103474.732654,1737010.27034179,6855440.11252625,11884860.1072016,13856438.8916487,14474872.3794866,11714793.7912358,11166112.299123,10907250.7310218,10418582.7748781,9812313.21052691,9657523.3292033,8922902.84798548,7822580.16442088,6538257.23160349,4114229.72500081,2265701.75995188,3954605.10649742
"56",0.55,0.1,150801587.802568,1793665.43437094,7077002.95978474,12192964.7493369,14134395.0755001,14769384.8963476,12064969.5124944,11514251.776911,11241591.5151,10736265.2846071,10110834.4636402,9965014.51823131,9211726.70150512,8101013.50081009,6784958.13925632,4405243.07008968,2439809.53873706,4258496.66584511
"57",0.56,0.1,146676796.579061,1732488.76561891,6831287.24877536,11902780.3263273,13884461.3610877,14518519.0331296,11749046.2816403,11277736.3848307,11013298.488832,10520794.9454423,9908194.9227393,9757741.8114254,8805493.94995283,7703205.79018091,6441025.8836782,4222518.14881833,2334141.6447715,4074061.59181088
"58",0.57,0.1,142698961.373463,1700478.84030408,6702432.52875466,11630462.2439829,13621557.7743336,14246325.9540133,11445992.4347502,10907414.6609373,10657434.7259661,10182935.2463679,9591810.94960556,9433995.65465665,8575459.0264628,7496652.41152126,6263823.0301356,4069255.3588428,2248445.27535942,3924485.25746911
"59",0.58,0.1,144323467.525547,1702705.24592535,6708632.11189812,11674028.7854277,13634732.4410207,14269166.0873214,11548335.1465973,11203361.9793761,10942098.1151894,10445714.0438313,9831848.42921589,9680152.76429619,8882444.4979854,7778591.81143995,6489821.25613486,3804484.22868599,2086146.02207564,3641204.55912522
"60",0.59,0.1,143883595.61609,1716678.28413061,6757813.37183108,11599067.8696301,13565462.1390065,14198919.7365579,11453440.9166186,11026415.5022024,10774249.8503741,10293893.1666517,9693163.82474024,9538364.37626491,8600813.07364384,7524567.79142898,6299813.12163571,4304387.92027779,2380889.07788832,4155655.59320755
"61",0.6,0.1,148497132.963734,1755913.00850801,6911376.1246897,12168429.2581155,14160640.3200361,14809813.311794,12024226.0423036,11276610.6653479,11007134.833149,10516170.3126708,9910140.9280545,9761521.33414537,9050680.00626898,7937555.15145497,6632818.79454075,4201091.75443355,2321323.17187892,4051687.94634276
"62",0.61,0.1,143370837.691948,1723475.42799977,6785030.2175036,11843677.5320097,13831659.3961451,14451406.2185367,11656041.3473573,10845641.4550017,10593523.6782276,10122055.3434058,9539203.42068233,9382321.87582825,8713511.14476117,7628791.00264263,6366423.49849994,3934873.21913059,2168411.09003233,3784791.82418387
"63",0.62,0.1,146380343.539012,1725387.25361037,6789463.7891396,11931734.3722102,13930004.4393708,14561456.7223944,11762934.4490514,11033062.2028763,10776835.1939005,10299383.3534677,9706439.87573731,9549289.94692807,8954783.5890574,7861386.844909,6579427.30724052,4329044.11228877,2400254.19349239,4189455.89333733
