"","relative_coverage","vaccine_efficacy","total_mortality","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"1",0,0.1,113022.948006299,203.076973455772,816.211152047161,556.171266683564,642.567440082841,3947.59010144748,7147.45917233326,6667.10264015906,6514.88420720439,6226.78188675169,5868.02251530744,5771.52456826877,9052.21417274054,7930.23557783987,6627.63001559101,17880.8143702069,9896.71692459457,17273.9450215849
"2",0.01,0.1,120710.136993655,204.14406706341,820.386075136537,576.682040852716,658.913513110912,4221.35838368627,7897.25124109418,7579.40201677787,7394.24589245732,7056.83569100872,6642.0200210436,6560.8746822874,9551.00519404094,8393.60513461341,7026.57870391038,18285.4645087193,10141.0173488597,17700.3524789922
"3",0.02,0.1,114899.143445926,191.046619834257,767.635267083152,538.828400045933,619.661732381118,3991.38494216166,7352.81271986961,6913.79548523829,6753.60077021159,6451.08818295375,6077.02966822086,5986.99181335218,9327.01869266459,8213.54822034391,6875.18950896929,17772.995625291,9858.7823722383,17207.7334250661
"4",0.03,0.1,123982.106456636,204.988381137334,823.541872805937,558.957394170278,643.540631193403,4002.70277894013,7378.63146149452,7063.0253150822,6896.21042257771,6585.50683557202,6201.60598935954,6118.10276971188,9622.26169069218,8508.42693792929,7138.67997159472,20668.9063076227,11498.0575710959,20068.9601256566
"5",0.04,0.1,125476.116592086,191.921205196104,770.949083571312,561.304868283343,643.338488289948,4014.53382163525,7494.31930387842,7091.39433700832,6918.82698416821,6606.56264628541,6222.91611243521,6145.19788738698,10067.6229031549,8896.01821957586,7454.47293619011,20759.6742433793,11523.571278502,20113.4922731455
"6",0.05,0.1,125077.628857035,181.669750284989,729.621494692026,514.050044048198,591.731802716851,4146.60819110965,7768.70391240861,7330.96339941427,7158.29969112325,6837.27052686673,6440.03911544109,6347.2840004493,9086.64824128861,7980.17547712794,6674.82146207688,21131.4045881715,11713.4414419838,20444.8957178317
"7",0.06,0.1,107752.061347762,188.928445782887,758.63800748433,538.303131345278,620.532502070793,3766.38320229134,6962.77365813796,6606.58338849802,6451.00463806888,6161.2621026374,5802.76855533967,5721.04920197844,9374.41720584919,8261.46260682617,6921.03951491641,15735.5568509926,8698.6118781615,15182.7464573814
"8",0.07,0.1,117634.978285128,185.49979951545,744.797511828688,496.856844180252,574.855985003968,3917.98152544092,7370.62851089893,7144.13549806082,6973.34741922628,6655.78487339062,6264.43627889067,6184.12900108475,9444.69263480989,8303.49737866431,6950.07409619343,18433.4600755943,10195.4465792273,17795.3542731175
"9",0.08,0.1,113610.870688354,169.80322731417,681.655249129799,520.607487051974,603.007690340758,3951.40813457247,7278.58709561503,6758.91075398277,6603.9125595854,6312.04890372201,5950.549662719,5854.44556699909,8851.37732394775,7790.37782228855,6516.88095667058,18139.1160960632,10063.3653514852,17564.816806866
"10",0.09,0.1,112841.89715943,173.710075092043,697.267932500015,509.755109351769,591.725113834953,3937.53134185427,7310.16624563939,7010.98802224903,6849.38891688051,6543.55565184543,6162.94677748835,6072.85019498374,8452.77767665389,7429.31755017127,6219.52278621482,17852.3003764714,9844.78740200672,17183.3059861921
"11",0.1,0.1,113742.095701846,179.315645606331,719.601591965198,572.402290275493,661.071717180014,4058.25952077545,7517.69224607822,7087.82287961862,6922.25662667182,6611.99944268226,6228.45547059157,6134.29965051773,9024.81674858279,7913.98163330382,6616.83247482024,17271.6457569596,9551.04327180285,16670.598734414
"12",0.11,0.1,107678.129202737,183.703023285614,737.09984094081,452.506171223507,525.629231799506,3798.63037114762,7139.33190270125,6821.54647224085,6666.07247797643,6367.362008621,5996.5133320099,5903.17117613415,9110.48841671034,8029.64226126431,6718.59757870743,15592.6696977035,8608.93789584462,15026.2273444257
"13",0.12,0.1,114940.901368703,166.917509481439,669.611839411682,512.659815240684,587.621637696307,3875.65918366721,7346.45500874068,7023.70931393178,6853.14016846133,6543.54539425575,6162.39662433626,6087.34480636806,9168.69458941072,8081.26904503411,6772.90196890723,17909.8338567055,9899.80516898965,17279.3354380642
"14",0.13,0.1,118827.523470041,188.915549755513,757.716387889809,488.489339348851,559.071974460105,3756.34401083552,7193.1908476323,6909.71235322687,6741.57846261532,6437.3227556469,6061.56716390445,5994.77876289305,9876.51742377532,8746.86952306581,7361.10549043071,18894.2405552315,10512.0833745204,18348.0194948084
"15",0.14,0.1,102173.281390836,157.742510220649,632.575470396695,501.962563550523,585.568865970252,3589.62088717357,6623.24925838455,6244.23273510784,6102.70260981215,5831.51407648691,5493.85321028724,5403.95194503917,8424.20530314774,7393.27697170732,6185.45519634622,15481.1008237931,8567.81625792008,14954.4527054916
"16",0.15,0.1,114610.724150794,176.405755803339,707.36882673142,514.516738625434,590.760445939908,3564.9332368244,6695.09172726415,6518.43585245116,6367.64998176301,6079.58932192434,5720.76687881953,5641.13415018508,8733.26343992529,7693.27227845464,6459.22007110823,19453.561351293,10816.0990646904,18878.6550289904
