,Unnamed: 0,relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,infection_per_million
0,1,0.0,10.0,151544900.327,1820776.80185,7318103.56895,12560768.1355,14512953.4289,15076666.5688,12232395.1836,11489567.3444,11222675.211,10720887.3171,10099205.8269,9944400.40396,9135280.24133,8001882.56444,6687079.13256,4254032.01977,2356004.70976,4112221.86792,151.544900327
1,2,1.0,10.0,158630329.29,1887875.48352,7585302.1924,13050808.3031,14948516.3544,15525104.9863,12800570.0358,12119599.1777,11825685.0237,11290997.2616,10632209.6291,10494528.643,9633540.68698,8481253.8089,7101279.87085,4463261.11315,2473134.2925,4316662.42648,158.63032929
2,3,2.0,10.0,154359969.95,1855832.30363,7454239.24093,12666033.5068,14591281.4781,15161525.7363,12380003.4218,11665278.7197,11392868.3698,10880177.6814,10247256.5191,10097965.2577,9511787.22647,8376743.10017,7010447.61669,4393486.19098,2431336.29709,4243707.28288,154.35996995
3,4,3.0,10.0,157138119.165,1860835.45012,7471738.99884,12679586.7289,14583758.9185,15159072.4567,12444376.7947,11988200.8847,11701434.3386,11171911.9868,10518807.4645,10387611.7556,9732377.63282,8603131.90596,7216492.0717,4600703.38411,2556284.23002,4461794.1624,157.138119165
4,5,4.0,10.0,159259462.066,1893417.96634,7600199.32063,12939808.1457,14825853.839,15406073.59,12717863.5668,12115550.2241,11821123.2454,11285379.2142,10627315.4725,10497713.8378,9864295.77568,8719208.82321,7310568.9792,4609088.18368,2559170.30341,4466831.57859,159.259462066
5,6,5.0,10.0,152543003.433,1812558.30203,7273087.05898,12537962.0857,14472611.0304,15044196.7906,12263925.5629,11541674.8289,11270337.1158,10764472.4467,10140196.0233,9992229.20986,9390853.66306,8254581.78637,6902398.84425,4319790.48985,2390207.69007,4171920.50455,152.543003433
6,7,6.0,10.0,154620275.505,1826484.11462,7326149.73725,12593066.7196,14531064.7653,15109435.8485,12324937.4325,11714951.8699,11438187.7629,10925095.6406,10290700.0428,10148075.3131,9534915.5623,8401625.64849,7038255.03632,4530958.40872,2508310.99062,4378060.61167,154.620275505
7,8,7.0,10.0,152167961.631,1820914.26053,7301549.70493,12460021.876,14393750.8581,14967418.8454,12183777.1913,11584843.7531,11314616.3372,10805377.0347,10175442.3072,10027352.9436,9317240.58663,8192544.19354,6854285.19568,4277647.55371,2364364.95852,4126814.03061,152.167961631
8,9,8.0,10.0,147609430.56,1760668.59311,7057350.39505,12200093.8979,14180333.0391,14742809.4382,11880912.8927,11117398.1005,10860957.8717,10378558.1021,9781350.06875,9628444.51865,9031054.04613,7939493.16061,6639199.74891,4132234.7144,2286924.40054,3991647.57173,147.60943056
9,10,9.0,10.0,149718074.841,1779698.51124,7131615.80739,12123963.6195,14062976.2818,14633225.5726,11849712.3128,11455520.8793,11192024.0397,10688835.7552,10063129.4729,9915899.93261,9147790.84625,8047876.70206,6741174.4212,4324939.06953,2389320.1844,4170371.43258,149.718074841
10,11,10.0,10.0,151350516.903,1797071.47858,7198882.13559,12319605.5578,14246476.2165,14825273.3778,12066966.6628,11573216.3952,11303929.8783,10794768.4171,10163515.2658,10014535.6912,9231889.37362,8101389.63752,6775522.92183,4342860.75111,2402040.09576,4192573.04657,151.350516903
11,12,11.0,10.0,149057196.733,1771646.31118,7094608.95946,12149680.4873,14109854.2845,14684597.6805,11866589.8374,11297538.347,11038934.5355,10543580.1009,9930361.76229,9777068.10618,9259757.45496,8151401.09026,6817912.53082,4197636.56832,2318779.86821,4047248.80798,149.057196733
12,13,12.0,10.0,158345640.416,1898599.71072,7599793.83364,12918620.0369,14818712.9984,15408863.4113,12701496.1102,12077021.8799,11783983.734,11251921.159,10596291.1503,10464151.6794,9653652.42508,8512664.59385,7135475.68657,4574395.55007,2531485.88048,4418510.57586,158.345640416
13,14,13.0,10.0,160747532.09,1917096.38747,7672026.76153,12883399.8424,14766993.9815,15354085.1812,12683352.6021,12210152.7328,11913414.3806,11377186.4114,10713564.229,10593723.6247,9795215.24967,8669891.37018,7294730.67763,5100680.24067,2841828.67638,4960189.74054,160.74753209
14,15,14.0,10.0,144921783.83,1745918.06206,6984636.39527,11985915.3076,13969677.997,14535393.2067,11658275.4012,10880780.7882,10635396.7995,10165114.6671,9580022.56414,9419019.04591,8767068.38743,7686662.34921,6427183.18751,4156100.36331,2303696.80746,4020922.50091,144.92178383
15,16,15.0,10.0,156350036.039,1874493.43686,7497267.14949,12529890.1451,14409299.5542,14996552.2838,12326061.6559,11973922.1232,11692620.6803,11163453.8126,10506195.2708,10368544.0591,9508829.6396,8382525.73193,7037321.72297,4787271.77806,2657437.56644,4638349.42807,156.350036039
16,17,16.0,10.0,155407016.536,1865665.42072,7459944.06881,12553210.0705,14455392.9303,15042473.1696,12345856.3185,11810156.5616,11529599.9686,11007091.7188,10364090.923,10228666.5685,9680888.85375,8551249.30232,7166370.09468,4499065.71522,2494077.56854,4353217.28266,155.407016536
17,18,17.0,10.0,142898253.144,1693300.08157,6765777.66041,11941170.5804,13964614.6461,14538629.5034,11605196.7146,10688305.5787,10447369.0804,9987263.78046,9416555.52135,9247909.42345,8751055.11006,7659465.61576,6386641.47785,3896344.28981,2152184.50123,3756469.57799,142.898253144
18,19,18.0,10.0,156913227.212,1882417.91038,7520121.629,12740962.6996,14641772.8021,15241063.6404,12546492.2932,12020962.4155,11731873.3503,11198305.4013,10541970.1834,10406525.5093,9656991.00815,8511086.50123,7126106.77842,4426495.4807,2447740.3427,4272339.2661,156.913227212
19,20,19.0,10.0,147358532.827,1737125.87797,6936581.57581,12134225.3783,14089868.0275,14667948.6435,11872703.5822,11214759.1182,10952088.4342,10466302.7311,9861426.06306,9712491.95987,8780488.63957,7684843.80283,6429445.12096,4291469.24768,2377326.76711,4149437.85736,147.358532827
20,21,20.0,10.0,146948495.287,1754233.76098,7000889.31943,12148208.7216,14118423.0085,14705812.1776,11871887.1352,11095864.7037,10842923.4556,10359615.2156,9759948.71919,9595536.97325,8947791.44174,7842999.67003,6553023.80151,4108074.18972,2274063.36187,3969199.63102,146.948495287
21,22,21.0,10.0,157125648.042,1874931.2986,7483236.76677,12710717.8063,14620216.8454,15220637.3345,12518983.9305,11904697.6298,11617799.481,11093300.489,10448171.9992,10316260.6632,9759218.87327,8633161.18792,7242597.97883,4622635.55232,2571218.84192,4487861.3636,157.125648042
22,23,22.0,10.0,155590608.724,1874250.40986,7479008.80247,12635132.3924,14554091.0801,15151969.9654,12423903.793,11856873.518,11573052.4102,11050440.2592,10405902.8499,10270895.2071,9500916.73145,8367489.27114,7011242.48891,4531114.36913,2514850.4491,4389474.72682,155.590608724
23,24,23.0,10.0,155215120.861,1846937.42239,7366933.44287,12670663.2229,14574297.21,15173359.1333,12484151.1866,11752534.1458,11469920.5049,10950811.2164,10314425.9291,10174575.1399,9721388.73462,8580714.55924,7180030.79369,4348364.40627,2406192.70723,4199821.10626,155.215120861
24,25,24.0,10.0,149892258.176,1787048.28598,7125363.35623,12322932.9222,14278002.2226,14869875.2447,12083024.1912,11347771.5054,11081833.7962,10585589.5058,9972346.77801,9821610.45292,9174562.78993,8061403.28251,6740986.17785,4221086.08654,2338009.29817,4080812.2794,149.892258176
25,26,25.0,10.0,147553294.347,1745857.37984,6957279.71957,12101013.262,14072671.7117,14661069.2053,11843438.5974,11135655.8791,10878059.2126,10395366.4832,9795675.71748,9642445.92055,8971764.39492,7875403.57157,6590304.13364,4315302.45242,2393798.58095,4178188.12474,147.553294347
26,27,26.0,10.0,151820436.724,1807509.25661,7200600.77121,12329252.2943,14256305.034,14852573.1045,12121277.4898,11478016.7961,11207417.2968,10706751.5749,10086273.2149,9944534.34728,9270165.35475,8164167.04382,6843987.36906,4580368.58255,2539222.66417,4432014.52886,151.820436724
27,28,27.0,10.0,145434675.738,1725137.97955,6869346.42833,11927066.3989,13898306.1478,14489685.3285,11671947.69,11081523.8511,10828745.0922,10346226.7691,9745126.5149,9585577.32547,8769748.63348,7676439.96938,6416991.94097,4131325.11147,2284341.40398,3987139.15254,145.434675738
28,29,28.0,10.0,151363426.414,1801160.03678,7168706.72039,12417918.938,14380687.4343,14991155.0305,12191860.6929,11438770.6087,11169358.1684,10669999.2685,10053078.2549,9902527.19092,9267841.73819,8145715.54888,6814065.62419,4342263.6502,2407031.81111,4201285.69669,151.363426414
29,30,29.0,10.0,150656770.855,1781149.37432,7090301.71174,12356713.2627,14316368.4081,14911565.6375,12126088.5861,11401016.866,11131548.4818,10633523.0364,10018839.4248,9871802.86328,9297263.10383,8186747.53927,6849306.75262,4243268.68041,2346184.92573,4095082.20017,150.656770855
30,31,30.0,10.0,149757532.326,1799880.0062,7160955.722,12106467.9108,14042394.8105,14646055.2654,11904328.4584,11597217.545,11328089.3078,10813856.6797,10176149.8127,10027980.5328,9090693.93767,7967604.56822,6661602.82165,4155657.37029,2286933.72688,3991663.85012,149.757532326
31,32,31.0,10.0,148254496.128,1759920.88027,7001363.38983,12088760.7764,14056479.6135,14653674.5728,11861604.3016,11292919.3912,11032010.7955,10536021.4742,9922527.87365,9768203.39552,9164631.73305,8056502.05164,6733941.32906,4106739.57198,2265296.76251,3953898.21502,148.254496128
32,33,32.0,10.0,149979779.201,1787689.26903,7105778.11876,12209820.7461,14168818.3606,14781216.0003,11996041.76,11302574.7003,11038944.8387,10546397.8572,9936749.09425,9787246.5938,9224909.13628,8122452.7392,6801932.87186,4427237.94739,2455713.45511,4286255.71245,149.979779201
33,34,33.0,10.0,147746528.703,1769398.77695,7031603.65904,12094450.4068,14059939.547,14657839.7885,11855890.5862,11000232.6563,10747149.0806,10270440.1048,9680868.64185,9526804.2689,9167691.2943,8073626.64181,6758731.30449,4379420.38017,2430388.53198,4242053.03274,147.746528703
34,35,34.0,10.0,148862574.086,1752432.63896,6962380.73538,12242260.2523,14205850.224,14814022.4366,12033312.9873,11335472.2577,11068927.2987,10575670.5713,9963420.92707,9809052.7377,8967501.06033,7845233.18099,6557060.55923,4259605.33706,2356785.75687,4113585.12478,148.862574086
35,36,35.0,10.0,148567079.015,1778910.24157,7067029.52077,12191024.0289,14134718.0792,14732714.0889,11977926.3816,11242068.8216,10980740.6907,10489871.494,9881574.10899,9727308.99173,9025456.1961,7913036.56925,6616303.80776,4288852.89584,2374696.37878,4144846.71952,148.567079015
36,37,36.0,10.0,146668348.234,1751685.49191,6957290.28288,11983492.6757,13934854.6609,14532758.2568,11770997.2467,11305905.1299,11045413.1678,10548539.8433,9930628.41644,9773937.12089,8826188.72977,7722727.87072,6452410.84604,4034821.60596,2220677.72535,3876019.16291,146.668348234
37,38,37.0,10.0,151077788.21,1805580.9604,7167462.97357,12320896.5763,14263721.7084,14870749.3179,12129309.3317,11518824.9412,11245818.6446,10738911.0583,10113780.4566,9969329.09141,9269422.2357,8147449.40014,6813929.55627,4252867.13011,2349269.22423,4100465.60284,151.07778821
38,39,38.0,10.0,147597918.809,1750239.97739,6941256.98399,11959269.0817,13925064.8492,14541597.4884,11779764.1797,11250031.0028,10983604.709,10488960.7443,9880734.40947,9741874.21342,9233086.31579,8130780.45957,6795998.76615,4054445.10515,2236891.49268,3904319.03021,147.597918809
