"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75","infection_per_million"
"1",0,10,153918320.046427,1838128.80270843,7387845.11645723,12531972.3260092,14454843.2574381,15021073.188101,12241333.5573126,11680627.70212,11410111.0160929,10897663.7295795,10261474.6614866,10112641.4478624,9391059.03057639,8269905.23862964,6931197.09813979,4552330.2861747,2526429.14666756,4409684.44107118,153.918320046427
"2",1,10,155204221.346191,1845010.13565293,7413052.4715509,12601656.5147855,14524765.3988368,15094001.1032593,12328032.2101214,11744340.4801934,11467771.8498785,10952397.0711611,10315449.2253764,10175626.7922777,9586713.3087922,8457597.08617226,7089347.74662949,4598375.8156704,2553372.38025967,4456711.75557318,155.204221346191
"3",2,10,152946276.316883,1817172.7952057,7298725.94178601,12445115.5090131,14375341.7794037,14941485.1903817,12158691.5989161,11586674.0057413,11317644.7769302,10810833.7351569,10181712.4985637,10035115.0788365,9364410.17161428,8246565.44793011,6910910.41241513,4541927.15941067,2518356.29972102,4395593.91585698,152.946276316883
"4",3,10,151556783.699997,1802952.20705709,7239181.72815112,12394532.9181903,14342459.582067,14907939.2522902,12091536.0781405,11396420.3184502,11133692.5287994,10636920.5518068,10021020.4794,9869842.98041014,9331892.19438833,8216887.91563889,6881945.70719921,4473840.62040945,2482576.16262834,4333142.47496999,151.556783699997
"5",4,10,153573192.164668,1828304.82643368,7338578.67892238,12532559.1568771,14469037.8262242,15040032.6697767,12251037.957877,11594865.1591771,11322747.6329876,10815103.7107333,10187968.2540987,10044434.5515939,9484966.15389324,8361144.41148572,7003456.94341134,4478473.05553467,2484310.88243636,4336170.29320517,153.573192164668
"6",5,10,155010988.231093,1843150.28642955,7395747.74517753,12640953.9750713,14567635.4486193,15142450.8408351,12376823.2703703,11742395.8002757,11463567.4377349,10947958.459069,10312107.4030825,10172799.7195426,9579707.59623114,8452169.81891978,7081276.63216408,4477146.52030199,2482349.83665212,4332747.44061648,155.010988231093
"7",6,10,153496577.161782,1830314.45649661,7342013.31599089,12467367.563623,14384460.1355477,14956403.3652986,12208444.00319,11668210.5715158,11395139.9596062,10882849.0345795,10248139.7268906,10104905.5716844,9391125.53207953,8269120.46965176,6930187.40403245,4526223.14646638,2510241.95158238,4381430.95354624,153.496577161782
"8",7,10,153150442.254661,1819263.78234715,7295103.33055028,12494145.3737369,14432466.7992735,15004677.5355983,12215605.2820881,11567518.335851,11296381.8377569,10791417.7092213,10166016.5094852,10021836.7222599,9383478.72286178,8264292.55022558,6924937.03376669,4544753.8156833,2523673.04083185,4404873.87312308,153.150442254661
"9",8,10,151413078.594691,1801836.98452511,7222707.15824725,12349675.474921,14289220.7898983,14862843.9941361,12076261.5954262,11465249.9884284,11198530.1117878,10695792.184539,10074166.0703446,9926988.75003599,9347910.92050404,8228136.81671418,6886575.21818079,4358278.59229631,2414530.27086841,4214373.67383767,151.413078594691
"10",9,10,152539018.269487,1825270.75582634,7314169.02225638,12437296.6908024,14367654.0864826,14943847.5326515,12170237.2594611,11583983.6717779,11313889.6105525,10805573.477815,10176062.5851923,10029463.4081738,9333048.01999759,8212788.13237059,6877417.18457115,4422136.26091618,2449962.57363078,4276217.99700843,152.539018269487
"11",10,10,153526435.880258,1830867.84107113,7333787.58039279,12495328.9001468,14411414.7600689,14992575.9167379,12251571.0168291,11667089.435922,11392962.476424,10879331.7460025,10244811.4353555,10100754.5253188,9466134.81902315,8339537.53565158,6982859.67181298,4420354.48538495,2446638.18987631,4270415.54424,153.526435880258
"12",11,10,153039953.933976,1829966.94464578,7327973.39732373,12532160.1381066,14467526.6800569,15046674.031376,12264728.6227321,11570509.2774606,11299838.1975375,10793594.073739,10167026.0283726,10018641.3682019,9351065.31049423,8228842.58839928,6890841.45036276,4460161.86349199,2473355.47622983,4317048.48544551,153.039953933976
"13",12,10,154200358.073467,1848051.59455161,7398171.30199161,12557107.2575765,14474874.7407742,15056846.615851,12312633.2383472,11736925.7159208,11460417.3742091,10944226.2501076,10305558.1271158,10162670.5313709,9398091.48818873,8270559.78888245,6928596.41850046,4498306.16110527,2494087.26386872,4353234.20510495,154.200358073467
