,Unnamed: 0,relative_coverage,vaccine_efficacy,total_mortality,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,mortality_per_thousands
0,1,0.0,10.0,113022.948006,203.076973456,816.211152047,556.171266684,642.567440083,3947.59010145,7147.45917233,6667.10264016,6514.8842072,6226.78188675,5868.02251531,5771.52456827,9052.21417274,7930.23557784,6627.63001559,17880.8143702,9896.71692459,17273.9450216,113.022948006
1,2,1.0,10.0,120710.136994,204.144067063,820.386075137,576.682040853,658.913513111,4221.35838369,7897.25124109,7579.40201678,7394.24589246,7056.83569101,6642.02002104,6560.87468229,9551.00519404,8393.60513461,7026.57870391,18285.4645087,10141.0173489,17700.352479,120.710136994
2,3,2.0,10.0,114899.143446,191.046619834,767.635267083,538.828400046,619.661732381,3991.38494216,7352.81271987,6913.79548524,6753.60077021,6451.08818295,6077.02966822,5986.99181335,9327.01869266,8213.54822034,6875.18950897,17772.9956253,9858.78237224,17207.7334251,114.899143446
3,4,3.0,10.0,123982.106457,204.988381137,823.541872806,558.95739417,643.540631193,4002.70277894,7378.63146149,7063.02531508,6896.21042258,6585.50683557,6201.60598936,6118.10276971,9622.26169069,8508.42693793,7138.67997159,20668.9063076,11498.0575711,20068.9601257,123.982106457
4,5,4.0,10.0,125476.116592,191.921205196,770.949083571,561.304868283,643.33848829,4014.53382164,7494.31930388,7091.39433701,6918.82698417,6606.56264629,6222.91611244,6145.19788739,10067.6229032,8896.01821958,7454.47293619,20759.6742434,11523.5712785,20113.4922731,125.476116592
5,6,5.0,10.0,125077.628857,181.669750285,729.621494692,514.050044048,591.731802717,4146.60819111,7768.70391241,7330.96339941,7158.29969112,6837.27052687,6440.03911544,6347.28400045,9086.64824129,7980.17547713,6674.82146208,21131.4045882,11713.441442,20444.8957178,125.077628857
6,7,6.0,10.0,107752.061348,188.928445783,758.638007484,538.303131345,620.532502071,3766.38320229,6962.77365814,6606.5833885,6451.00463807,6161.26210264,5802.76855534,5721.04920198,9374.41720585,8261.46260683,6921.03951492,15735.556851,8698.61187816,15182.7464574,107.752061348
7,8,7.0,10.0,117634.978285,185.499799515,744.797511829,496.85684418,574.855985004,3917.98152544,7370.6285109,7144.13549806,6973.34741923,6655.78487339,6264.43627889,6184.12900108,9444.69263481,8303.49737866,6950.07409619,18433.4600756,10195.4465792,17795.3542731,117.634978285
8,9,8.0,10.0,113610.870688,169.803227314,681.65524913,520.607487052,603.007690341,3951.40813457,7278.58709562,6758.91075398,6603.91255959,6312.04890372,5950.54966272,5854.445567,8851.37732395,7790.37782229,6516.88095667,18139.1160961,10063.3653515,17564.8168069,113.610870688
9,10,9.0,10.0,112841.897159,173.710075092,697.2679325,509.755109352,591.725113835,3937.53134185,7310.16624564,7010.98802225,6849.38891688,6543.55565185,6162.94677749,6072.85019498,8452.77767665,7429.31755017,6219.52278621,17852.3003765,9844.78740201,17183.3059862,112.841897159
10,11,10.0,10.0,113742.095702,179.315645606,719.601591965,572.402290275,661.07171718,4058.25952078,7517.69224608,7087.82287962,6922.25662667,6611.99944268,6228.45547059,6134.29965052,9024.81674858,7913.9816333,6616.83247482,17271.645757,9551.0432718,16670.5987344,113.742095702
11,12,11.0,10.0,107678.129203,183.703023286,737.099840941,452.506171224,525.6292318,3798.63037115,7139.3319027,6821.54647224,6666.07247798,6367.36200862,5996.51333201,5903.17117613,9110.48841671,8029.64226126,6718.59757871,15592.6696977,8608.93789584,15026.2273444,107.678129203
12,13,12.0,10.0,114940.901369,166.917509481,669.611839412,512.659815241,587.621637696,3875.65918367,7346.45500874,7023.70931393,6853.14016846,6543.54539426,6162.39662434,6087.34480637,9168.69458941,8081.26904503,6772.90196891,17909.8338567,9899.80516899,17279.3354381,114.940901369
13,14,13.0,10.0,118827.52347,188.915549756,757.71638789,488.489339349,559.07197446,3756.34401084,7193.19084763,6909.71235323,6741.57846262,6437.32275565,6061.5671639,5994.77876289,9876.51742378,8746.86952307,7361.10549043,18894.2405552,10512.0833745,18348.0194948,118.82752347
14,15,14.0,10.0,102173.281391,157.742510221,632.575470397,501.962563551,585.56886597,3589.62088717,6623.24925838,6244.23273511,6102.70260981,5831.51407649,5493.85321029,5403.95194504,8424.20530315,7393.27697171,6185.45519635,15481.1008238,8567.81625792,14954.4527055,102.173281391
15,16,15.0,10.0,114610.724151,176.405755803,707.368826731,514.516738625,590.76044594,3564.93323682,6695.09172726,6518.43585245,6367.64998176,6079.58932192,5720.76687882,5641.13415019,8733.26343993,7693.27227845,6459.22007111,19453.5613513,10816.0990647,18878.655029,114.610724151
16,17,16.0,10.0,106370.289655,171.476304614,687.575320027,520.351494219,599.245360432,3445.50003202,6510.75022619,6275.54203792,6124.48544381,5845.3418022,5502.64972976,5435.33510871,9162.45767104,8090.3736138,6776.03681021,16319.3610444,9071.03157176,15832.7760844,106.370289655
17,18,17.0,10.0,101657.398206,151.567222788,607.426501811,490.835142994,572.879675795,3677.98511544,6732.74769804,6116.82560847,5980.42313322,5719.67130488,5396.04903897,5294.47584081,8593.24269224,7522.06423565,6267.07620771,15295.364758,8464.55164294,14774.2123858,101.657398206
18,19,18.0,10.0,108578.470923,163.385833907,654.75228089,450.952379225,519.345506931,3915.40114332,7574.712967,7225.34525762,7052.55358709,6733.42385193,6340.57956704,6255.7257709,8742.91021149,7702.3744688,6445.07616929,15396.8153788,8525.1442323,14879.9723163,108.578470923
19,20,19.0,10.0,105386.877162,164.14094118,657.63015976,444.658612741,516.901732947,3275.9610933,6151.02849906,5771.33253132,5636.9042233,5388.33471127,5078.54287842,4999.15247394,8584.15443551,7524.14312936,6297.16329569,17782.0180471,9876.37333688,17238.4370604,105.386877162
20,21,20.0,10.0,98723.2401714,143.57254969,575.066322854,523.649615676,607.178608255,3503.47612601,6514.70695445,6021.956529,5883.7551791,5622.48167973,5299.25582952,5210.37528511,8296.01567611,7277.80776539,6083.94582855,14753.2857734,8161.48212524,14245.2283233,98.7232401714
21,22,21.0,10.0,107012.106909,166.37065657,666.303926342,510.255563734,585.896985959,3753.40894284,7205.63621512,6761.9455546,6599.93450686,6303.99952155,5939.28477221,5858.80628883,8876.21858851,7852.72532898,6587.03019651,15563.5405755,8661.9656827,15118.7836018,107.012106909
22,23,22.0,10.0,106219.565111,181.154287707,725.442173272,511.439355523,589.102506846,3620.70448405,6878.74911843,6560.18276278,6403.28350684,6114.37838974,5758.07145712,5681.85272858,8885.01585575,7827.68848434,6560.34732227,15811.5701465,8782.10507234,15328.4774588,106.219565111
23,24,23.0,10.0,98886.3709067,176.889274608,708.071423238,473.959248556,542.701815614,3033.13897435,5737.97254371,5419.44596637,5289.66911097,5050.50325469,4756.47655561,4691.10005463,9114.16940084,8035.83786637,6721.10299743,15539.5920285,8594.57761804,15001.1627731,98.8863709067
24,25,24.0,10.0,102787.356477,137.164713548,549.080382325,468.359600499,542.309865252,3539.08345146,6793.09758999,6458.25603422,6306.84401198,6023.32085234,5672.2782814,5588.80609789,8331.69427708,7314.85142031,6115.32567785,15460.9706614,8554.5740271,14931.3395326,102.787356477
25,26,25.0,10.0,100187.813161,140.535472076,562.378023798,430.057187545,500.806379256,3437.66321646,6636.44084756,6200.83770863,6056.30015847,5787.56781446,5454.07318874,5370.91859321,8139.57805068,7144.39147146,5977.38463434,15203.1122556,8430.67850278,14715.0896557,100.187813161
26,27,26.0,10.0,101065.199784,174.053379458,696.227848112,438.605059439,508.033181496,3083.05327663,5879.98468452,5476.56375115,5347.22392108,5109.11580243,4814.77205485,4745.72716159,8349.22373948,7375.96739967,6190.9215339,17015.7782487,9419.29906927,16440.6496724,101.065199784
27,28,27.0,10.0,96888.012887,147.872758563,591.342874803,464.120066636,541.155738527,3589.61042208,6807.86526436,6497.63118002,6350.34090159,6067.66601213,5714.5465486,5619.0969314,7486.74582075,6567.77576368,5493.53386461,13877.0821706,7675.1874653,13396.4391033,96.888012887
28,29,28.0,10.0,97864.4902946,146.969430757,587.648783617,439.618717417,510.467605766,3205.49920674,6153.17608035,5730.59614338,5595.71005214,5346.68009836,5038.49066745,4961.92062169,8290.55162475,7288.36250999,6099.52321655,15259.2272673,8454.09206787,14755.9562004,97.8644902946
29,30,29.0,10.0,94461.5074181,151.611553335,606.270376025,439.786969336,510.509038542,3000.98069273,5701.98681011,5322.01250383,5196.09444288,4964.46839065,4678.47715018,4608.91649812,7773.99460237,6839.38674378,5721.02215122,15465.9007483,8552.4523431,14927.6364036,94.4615074181
30,31,30.0,10.0,94030.3468715,155.025083193,619.677091458,453.171060617,525.100720663,3207.21966365,6165.59011121,5995.32323184,5854.35079121,5588.81029867,5259.98307508,5186.97997415,8049.87377269,7067.91655838,5910.9903362,13507.5458579,7460.70768423,13022.0815604,94.0303468715
31,32,31.0,10.0,95499.8239146,144.47728001,577.467917089,418.161284089,485.757043136,3115.01580361,6011.42309584,5691.92934327,5561.21164199,5311.96252542,5003.02096594,4923.73178975,8285.15668174,7293.57862657,6094.78896206,14535.7054386,8030.25454792,14016.1809676,95.4998239146
32,33,32.0,10.0,103065.684348,151.422699147,604.845021697,445.729983268,515.544341899,3361.13327259,6544.63279113,6140.82021919,5996.60786008,5728.64582394,5397.83038838,5318.14877194,8274.67292113,7289.08367614,6109.67418863,16335.1956082,9052.0506357,15799.646145,103.065684348
33,34,33.0,10.0,95672.5987785,150.114096794,599.571496048,457.115177154,530.048832278,3163.12346353,6039.19185874,5571.97944125,5444.0334395,5203.46696534,4905.16679576,4824.99564368,7854.93914736,6917.33920686,5791.88871063,15142.9253439,8405.52057906,14671.1785805,95.6725987785
34,35,34.0,10.0,91168.8255746,138.318133091,552.347666757,430.69416366,498.686664952,3141.13362301,6057.28842684,5713.20137265,5580.32263045,5332.75299464,5024.31443597,4944.37713614,7566.79401275,6622.3718416,5535.15565975,13521.5576163,7470.44027378,13039.0689222,91.1688255746
35,36,35.0,10.0,94070.1860768,134.38725763,536.581697895,419.352639963,483.897395543,2959.85365712,5700.99858279,5287.52465607,5165.39559116,4935.02231677,4650.22164042,4574.1432567,7429.16007442,6520.04271235,5455.17151985,15768.9158242,8759.86251829,15289.6547357,94.0701860768
36,37,36.0,10.0,92671.889962,132.224393925,527.665808761,462.259304356,537.564725121,3488.87223793,6770.1243722,6510.6390341,6360.24509019,6072.99108852,5716.71027025,5628.05907979,7770.35685228,6812.07679444,5695.10285844,12019.0523039,6617.54278735,11550.4029604,92.671889962
37,38,37.0,10.0,93475.4465012,147.361561315,587.946423325,435.013725315,502.766377735,3191.1363659,6211.75117696,5906.68297135,5766.5887004,5505.96010433,5185.20765406,5112.10326982,7702.02153636,6770.78594821,5666.32456282,13813.5549945,7638.25852644,13331.9826024,93.4754465012
38,39,38.0,10.0,90530.063836,138.791556588,553.303447896,404.092121683,471.103098065,3093.59790917,6082.63478842,5907.45493559,5762.64582009,5499.81607639,5178.6437144,5119.76071611,7814.42071104,6886.82426326,5758.37235389,12675.2824881,6987.38542274,12195.9344126,90.530063836
39,40,39.0,10.0,95642.7886178,140.160400198,558.89212033,422.485793915,489.743921866,3308.35983975,6494.51019088,6343.03139451,6193.59983177,5911.90580675,5564.54924122,5487.90308949,7619.25364173,6700.87524788,5606.57234012,13827.836984,7639.30305533,13333.8057181,95.6427886178
40,41,40.0,10.0,91168.2089911,141.155699146,562.496171588,414.119461313,481.129584573,2928.61020048,5697.96363913,5475.71836144,5349.40397653,5108.69729672,4809.86074744,4738.17562548,7198.76568837,6316.2964483,5285.40079992,14561.8382969,8049.24665862,14049.3303352,91.1682089911
41,42,41.0,10.0,89752.7108889,117.119162482,466.799493699,365.931678557,427.533779185,3281.20636777,6552.54002249,6170.74572565,6026.5326709,5756.67149732,5424.15090032,5340.459477,7149.21971102,6276.28178534,5240.8932734,12382.2636017,6838.4254411,11935.936301,89.7527108889
42,43,42.0,10.0,86885.8787911,128.536219946,512.047236632,391.597539558,458.027418135,2935.27114804,5682.59537471,5438.94594307,5318.08214806,5081.45261759,4786.35194912,4702.40777687,7336.25297613,6438.99900385,5381.72226399,12838.9475057,7086.21247286,12368.4291969,86.8858787911
43,44,43.0,10.0,91284.1206263,119.850477572,477.277554688,383.521016891,443.524719752,3084.76642201,6144.11799905,5961.56815988,5822.48691143,5560.97164339,5234.88311108,5156.52268566,7603.27343615,6664.96196857,5579.91548248,13119.9924107,7258.07850575,12668.4081213,91.2841206263
44,45,44.0,10.0,87178.6230688,124.449297654,495.434420103,426.125832835,493.788915127,2926.29833624,5695.74889955,5354.7983305,5231.00256401,4998.77302904,4710.11348328,4634.66422837,7284.600667,6386.3651125,5344.67540607,13162.70153,7251.73936296,12657.3436536,87.1786230688
45,46,45.0,10.0,86238.3259107,121.310339853,482.775814924,358.324777011,415.727072916,2860.70217511,5749.69531711,5720.97002656,5586.14217841,5333.06695767,5018.14641894,4951.71808413,7041.26552842,6191.43377742,5179.72124546,12427.1413151,6847.83129005,11952.3535916,86.2383259107
