iter,recovery_rate,latency_rate,susceptibility_0,susceptibility_5,susceptibility_25,susceptibility_50,susceptibility_65,relative_vaccineEfficacyVsInfection_0,relative_vaccineEfficacyVsInfection_0.5,relative_vaccineEfficacyVsInfection_16,relative_vaccineEfficacyVsInfection_65,vaccineEfficacyVsDeath_0,vaccineEfficacyVsDeath_20,vaccineEfficacyVsDeath_65,vaccineEfficacyVsHospitalization_0,vaccineEfficacyVsHospitalization_5,vaccineEfficacyVsHospitalization_16,vaccineEfficacyVsHospitalization_65,caseMortality_0,caseMortality_5,caseMortality_18,caseMortality_50,caseMortality_65,caseHospitalization_0,caseHospitalization_5,caseHospitalization_18,caseHospitalization_50,caseHospitalization_65,R0
0,0.257786136,0.471340931,0.985452543,0.798169493,0.627817828,0.525764761,0.342535435,0,0.713967251,0.83530323,0.558232842,0.539263465,0.465331373,0.488803966,0.5182955,0.508365523,0.401981151,0.477567804,8.39E-05,5.96E-05,0.000440377,0.000976055,0.03362184,0.014845174,0.002648414,0.013243,0.013005894,0.03362184,1.265
1,0.326730972,0.542267059,0.913684268,0.720748958,0.978583906,0.750432367,0.617120988,0,0.714910193,0.804494422,0.500566004,0.47934566,0.630662718,0.691570556,0.652564823,0.492655705,0.414354786,0.528752466,0.000101932,2.31E-05,0.000630711,0.00155658,0.010581857,0.016159288,0.003732724,0.01164176,0.021794435,0.010581857,1.265
2,0.422048158,0.477901246,0.995249719,0.789203147,0.820044946,0.660865048,0.73029239,0,0.902935082,0.786151034,0.449097438,0.429401834,0.544956657,0.318520653,0.687150114,0.390237166,0.311525671,0.500323715,6.90E-05,5.81E-05,0.000823963,0.001030948,0.017784176,0.0112199,0.004145072,0.011317447,0.012743112,0.017784176,1.265
3,0.444822426,0.709760728,0.932602351,0.701643823,0.760942938,0.91391302,0.607703519,0,0.747114963,0.632077043,0.463705384,0.748061039,0.543689267,0.605963564,0.677255426,0.528372483,0.250850738,0.595667801,6.57E-05,7.50E-05,0.000819486,0.001259331,0.025779212,0.014549727,0.004023571,0.008178418,0.02396496,0.025779212,1.265
4,0.419221136,0.427435878,0.961026391,0.781738098,0.968590334,0.922293625,0.756710557,0,0.612097451,0.642068087,0.526816686,0.599923325,0.479806837,0.627981213,0.568709027,0.535416881,0.511368959,0.581247297,4.75E-05,3.74E-05,0.000982903,0.001123566,0.026536788,0.015124672,0.002893603,0.004272199,0.01845448,0.026536788,1.265
5,0.272347478,0.678025195,0.994958694,0.955284126,0.971138045,0.925061431,0.908569835,0,0.728158172,0.655171351,0.469448956,0.620504719,0.460385536,0.639233905,0.524449133,0.448849474,0.373134629,0.414971669,2.72E-05,3.56E-05,0.000455137,0.001245701,0.003177916,0.020308409,0.001398234,0.017563145,0.009695113,0.003177916,1.265
6,0.394165852,0.725280193,0.95499038,0.784234437,0.721129554,0.798891894,0.523557041,0,0.732565388,0.858341047,0.479873054,0.643386331,0.677838178,0.436780576,0.617165154,0.480619643,0.43016711,0.522618531,0.000179873,5.83E-05,0.000211559,0.001139955,0.010102256,0.01968373,0.001680616,0.015195869,0.005277551,0.010102256,1.265
7,0.524198584,0.519844185,0.97193247,0.835113857,0.737725277,0.572136516,0.637895789,0,0.889270588,0.759937401,0.466113335,0.656455618,0.445537034,0.521838845,0.63097915,0.555587597,0.406536987,0.489888183,0.000171224,3.04E-05,0.00031272,0.001451718,0.019584922,0.011911707,0.004433492,0.00933244,0.014934887,0.019584922,1.265
8,0.24042631,0.465471211,0.934253722,0.949988905,0.995184783,0.557332423,0.410399498,0,0.572118627,0.722507897,0.505360701,0.718353098,0.635027786,0.660439693,0.60926186,0.516309967,0.4496208,0.439520658,5.96E-05,3.44E-05,0.001297644,0.001419879,0.027414897,0.013129359,0.003386034,0.022914905,0.005923615,0.027414897,1.265
9,0.277830031,0.433828356,0.999368679,0.868774606,0.944912165,0.680519185,0.793114809,0,0.64095848,0.711289315,0.436962936,0.65269663,0.649512506,0.582815748,0.572259986,0.542423609,0.324695221,0.404773529,0.000208162,5.24E-05,0.0003651,0.000781374,0.015892082,0.00654709,0.002400604,0.004902435,0.002812496,0.015892082,1.265
